ID,cnt,time_a,time_b1,time_b2,time_b3,time_b4,time_start,time_solving,time_total,time_answer,time_irrelevant,time_explore_relevant,time_ticket_explore,time_explore_total,time_avg_explore,time_avg_btw_events,events_num,sequence,length,credit,OECD,ratio,mean,weight,gender
ARE000044711254,ARE,31.5,6.2,0,11.6,0,58.5,93.9,152.4,49.3,44.6,43.1,0,87.7,9.86,2.134090909,44,aabbb,5,1,0,0.61,346.6190476,7278.877738,2
ARE000024706290,ARE,28.9,7.3,0,0,0,18.8,38.1,56.9,36.2,1.9,28.9,0,30.8,18.1,4.7625,8,ab,2,1,0,0.74,450.7,8793.191709,1
ARE000024706276,ARE,23.9,3.6,0,0,14.1,20.8,50.3,71.1,41.6,8.7,38,7.8,46.7,10.4,2.286363636,22,abab,4,1,0,0.84,515.7,10061.34671,1
ARE000005401403,ARE,17,7.7,0,0,0,16.8,27.7,44.5,24.7,3,17,0,20,12.35,3.4625,8,ab,2,1,0,0.57,314.5714286,6793.422464,1
ARE000045211374,ARE,29.3,0,23.5,0,0,56.5,60.9,117.4,52.8,8.1,29.3,9,84.4,26.4,4.35,14,ab,2,1,0,0.65,396.7,7739.64755,1
ARE000009002226,ARE,51.3,11.4,0,0,0,25.5,64.5,90,62.7,1.8,51.3,0,53.1,31.35,8.0625,8,ab,2,1,0,0.72,398.5238095,8606.441508,1
ARE000027807077,ARE,28.5,12.1,0,0,0,6.6,41.7,48.3,40.6,1.1,28.5,0,29.6,20.3,5.2125,8,ab,2,1,0,0.66,375,7874.867727,1
ARE000011602907,ARE,44.2,6.4,0,22.4,0,16.1,76.4,92.5,73,3.4,66.6,0,70,18.25,4.494117647,17,abab,4,1,0,0.67,405,8022.898396,1
ARE000011602895,ARE,16,5.9,0,0,0,7.9,24.3,32.2,21.9,2.4,16,0,18.4,10.95,2.43,10,ab,2,1,0,0.46,283.5,5531.106833,1
ARE000011602904,ARE,33.9,7.6,0,0,19.5,13.8,66,79.8,61,5,53.4,3.5,58.4,20.33333333,4.714285714,14,abb,3,1,0,0.56,310.1904762,6698.812281,1
ARE000013803475,ARE,10.5,7,0,0,58.8,17.8,79.1,96.9,76.3,2.8,69.3,5.1,72.1,25.43333333,5.65,14,bab,3,1,0,0.2,121.7,2374.376372,1
ARE000033208436,ARE,25.4,20.1,0,0,0,27.5,51.7,79.2,45.5,6.2,25.4,0,31.6,22.75,6.4625,8,ab,2,1,0,0.83,452.4736842,9904.546545,1
ARE000006301615,ARE,14.3,12,0,0,0,13,29.3,42.3,26.3,3,14.3,0,17.3,13.15,2.93,10,ab,2,1,0,0.48,274.4285714,5762.903201,1
ARE000028907353,ARE,66.4,37.4,0,0,0,13.1,111,124.1,103.8,7.2,66.4,0,73.6,51.9,13.875,8,ab,2,1,0,0.28,154.4736842,3381.393987,2
ARE000030107637,ARE,2.9,3.1,0,25.4,0,17.5,73,90.5,31.4,41.6,28.3,0,69.9,6.28,1.825,40,bbabb,5,1,0,0.72,410.3333333,8616.855264,2
ARE000028207204,ARE,4.8,6.8,0,20.3,0,40.5,54.6,95.1,31.9,22.7,25.1,0,47.8,10.63333333,3.211764706,17,bab,3,1,0,0.71,400.6190476,8412.858691,2
