ID,cnt,time_a,time_b1,time_b2,time_b3,time_b4,time_start,time_solving,time_total,time_answer,time_irrelevant,time_explore_relevant,time_ticket_explore,time_explore_total,time_avg_explore,time_avg_btw_events,events_num,sequence,length,credit,OECD
ARE000027907117,ARE,2.4423470353692043,2.1972245773362196,0.0,3.594568774642695,0.0,1.7993972995880065,1.644610449746497,1.8550883495748887,1.6105399746434959,1.2336131630670324,1.5785698946869828,0.0,1.6190516765007033,2.9426830526399224,1.665187927601644,15.0,bab,3.0,1.0,0
ARE000011302798,ARE,4.9890711161804155,2.1041341542702074,0.0,0.0,0.0,1.4772757932055116,1.8545889886375557,1.8734940464149437,1.797899348601363,1.6466671712706678,1.7899363276784157,0.0,1.8493429905104017,3.9512437185814275,2.1122313645431494,30.0,aab,3.0,1.0,0
ARE000018804820,ARE,3.8372994592322094,2.4423470353692043,0.0,0.0,0.0,1.5545373490427516,1.6274753868733396,1.7247560919675298,1.6176630611907394,0.8590753271500405,1.576356602040725,0.0,1.5888114584197814,3.3655702040190043,1.9286186519452522,10.0,ab,2.0,1.0,0
ARE000039910042,ARE,2.4765384001174837,1.667706820558076,0.0,2.388762789235098,2.8507065015037334,1.4065650087292019,1.6614412568862762,1.7088985477623269,1.5575440929754398,1.481117713442181,1.5347605466659382,0.6288586214346804,1.6495606454510718,2.2278615467981093,0.9688390523668766,43.0,babab,5.0,1.0,0
ARE000006001557,ARE,3.214867803470662,1.5686159179138452,0.0,0.0,3.449987545831587,1.2036159092171295,1.702884417488939,1.7208076810406936,1.6254926510221832,1.4885702656309057,1.612349588139916,1.1442438708753242,1.694913427248905,2.744060638625243,1.509396558253874,25.0,abab,4.0,1.0,0
ARE000024506213,ARE,1.7404661748405046,1.667706820558076,0.0,3.1570004211501135,0.0,1.1479617260213135,1.543047890221325,1.5798842520531877,1.499899813778565,1.128774165230374,1.4677181096275485,0.0,1.5181737883623687,2.1832383353614797,1.1456372271716297,18.0,babb,4.0,1.0,0
ARE000006601699,ARE,3.353406717825807,2.5494451709255714,0.0,0.0,0.0,1.3877140040516296,1.6068606898300961,1.6661638131409213,1.5473134957929757,1.3013214458074807,1.4709586921190627,0.0,1.5560472075314404,3.0301337002713233,1.6231890840014012,13.0,ab,2.0,1.0,0
ARE000041810517,ARE,2.2082744135228043,2.1041341542702074,0.0,0.0,0.0,1.412105050494295,1.6457889206683507,1.6985302777514544,1.332673388161047,1.5933067368191371,1.1657332267208378,0.0,1.623148837487294,1.8082887711792655,1.3384276833805726,23.0,aab,3.0,1.0,0
ARE000041810530,ARE,1.9740810260220096,3.265759410767051,0.0,3.634951112088381,0.0,1.188569495837426,1.6835288229185885,1.7026798402849839,1.6560246806601986,1.2460370861215575,1.5657910530818724,0.0,1.6109034750189168,3.168284038892393,1.9590107730576276,13.0,bab,3.0,1.0,0
ARE000009502331,ARE,3.242592351485517,1.8718021769015913,0.0,2.1041341542702074,0.0,1.2689813962850498,1.5514778669545088,1.603857757940496,1.535888223589899,0.8590753271500405,1.5019481349263526,0.0,1.5206396356245329,2.3345681388470965,1.213340554224641,17.0,abab,4.0,1.0,0
