"","ID","cnt","time_a","time_b1","time_b2","time_start","time_solving","time_total","time_answer","time_irrelevant","time_explore_relevant","time_ticket_explore","time_explore_total","time_avg_explore","time_avg_btw_events","events_num","sequence","length","credit","OECD","ratio","mean","weight","gender"
"2035","CZE000007801410","CZE",1.62924054,2.370243741,2.509599262,1.358504721,1.51567364,1.599249949,1.449723356,1.188569496,1.334285372,0,1.441455614,2.237157288,1.058947032,18,"bab",3,1,1,0.61,335.9047619,7254.132919,2
"2036","CZE000007301309","CZE",1.902107526,1.945910149,2.014903021,1.35271144,1.404304529,1.535325282,1.374957916,0.799206396,1.275423366,0,1.321027819,1.955388893,0.94957671,13,"bab",3,1,1,0.82,464.0952381,9745.836301,1
"2037","CZE000007301315","CZE",1.722766598,2.4765384,2.844909384,1.359927782,1.518793432,1.601569673,1.501267916,0.836525541,1.406565009,0,1.434768551,2.448127399,1.293672871,13,"bab",3,1,1,0.77,422.0952381,9115.485426,2
"2038","CZE000008401471","CZE",2.721295428,2.549445171,0,1.314071841,1.484881577,1.568143694,1.457646383,0.908905343,1.314071841,0,1.366897854,2.63905733,1.542229163,8,"ab",2,1,1,0.65,360.3809524,7782.715896,1
"2039","CZE000008401472","CZE",1.704748092,1.987874348,3.668676747,1.4237674,1.607232291,1.674473066,1.591685874,0.959134839,1.563885602,0,1.582052614,2.85263143,1.624705385,13,"bab",3,1,1,0.72,410.8095238,8626.855096,1
"2040","CZE000008401475","CZE",3.676300672,2.332143895,2.251291799,1.421698251,1.629109571,1.688766204,1.619051677,0.869741686,1.583340521,0,1.59570923,2.713037743,1.501459594,17,"abab",4,1,1,0.9,494.8571429,10686.83716,1
"2041","CZE000008401477","CZE",2.797281335,2.63188884,0,1.370967991,1.485625239,1.585042717,1.476497777,0.581353438,1.334285372,0,1.35271144,2.718000532,1.544899391,8,"ab",2,1,1,0.82,453.4761905,9793.182277,2
"2042","CZE000008401474","CZE",1.916922612,2.57261223,2.424802726,1.463586924,1.491468931,1.621454031,1.475716492,0.756780031,1.345232354,0.966695036,1.562442619,2.341805806,1.105256831,15,"bab",3,1,1,0.7,396.952381,8335.859984,2
"2043","CZE000003300580","CZE",2.63905733,2.48490665,0,1.335884987,1.453285669,1.555545373,1.4395687,0.650391407,1.291724673,0,1.319310192,2.564949357,1.432103897,8,"ab",2,1,1,0.73,403.5714286,8715.448892,1
"2044","CZE000003300562","CZE",2.292534757,2.944438979,0,1.285754384,1.611628103,1.652121093,1.46525033,1.468533533,1.191657711,0,1.529595416,2.670694415,1.432279474,17,"ab",2,1,1,0.84,475.1428571,9977.832404,2
"2045","CZE000003300571","CZE",2.302585093,2.00148,0,1.369620336,1.349752311,1.517552001,1.334285372,0.526589034,1.194705523,0,1.223156203,2.163323026,1.115141591,8,"ab",2,1,1,0.79,450.0952381,9451.841239,2
"2046","CZE000003300559","CZE",2.839078464,1.774952351,3.173878459,1.511857135,1.611989237,1.701858805,1.569540031,1.233613163,1.545193632,1.337472404,1.593306737,2.482821143,1.390452371,18,"abab",4,1,1,0.81,446.4285714,9640.983288,2
"2047","CZE000009301654","CZE",2.219203484,2.054123734,1.960094784,1.378870489,1.579447255,1.645495107,1.40990776,1.448822238,1.315832419,0,1.546785924,2.083599552,1.100060515,23,"abb",3,1,1,0.62,339.7142857,7336.402643,1
"2048","CZE000009301633","CZE",2.890371758,2.312535424,0,1.39499465,1.466076537,1.582482999,1.458506581,0.495826022,1.358504721,0,1.370967991,2.642622396,1.47590652,8,"ab",2,1,1,0.74,416.9047619,8754.852946,2
"2049","CZE000002800460","CZE",3.054001182,3.303216973,0,1.380157963,1.585887471,1.650133162,1.580754906,0.581353438,1.39970434,0,1.413194525,3.186352633,1.93874166,8,"ab",2,1,1,0.8,453.5714286,9524.840013,1
"2050","CZE000002800477","CZE",2.054123734,3.608211551,2.917770732,1.434768551,1.639198618,1.698530278,1.632010658,0.785691023,1.442392139,0,1.462749666,3.047692013,1.759183299,13,"bab",3,1,1,0.74,404.75,8754.113346,1
"2051","CZE000002800458","CZE",2.727852828,2.00148,2.797281335,1.478050566,1.543586784,1.6529656,1.529012141,0.82458494,1.487103633,0,1.505311612,2.567510178,1.380508424,13,"bab",3,1,1,0.93,512.2857143,11063.22114,1
"2052","CZE000029505271","CZE",2.772588722,2.646174797,0,1.461063885,1.516301941,1.632648419,1.474931913,1.075521541,1.32776143,0,1.407685588,2.711377991,1.658228077,8,"ab",2,1,1,0.94,519.952381,11228.78896,1
"2053","CZE000029505262","CZE",3.039749159,2.660259537,0,1.165733227,1.52125084,1.564840952,1.511213131,0.670651768,1.396182601,0,1.414277969,2.867898902,1.677096561,8,"ab",2,1,1,0.78,425.6,9315.134002,1
"2054","CZE000029505255","CZE",2.533696814,2.884800713,0,1.469345419,1.49361331,1.624826389,1.478050566,0.756780031,1.262344579,0,1.305042953,2.724579503,1.401182974,10,"ab",2,1,1,0.76,429.2380952,9013.848596,2
"2055","CZE000029505246","CZE",3.100092289,2.653241965,0,1.271149848,1.556047208,1.607603067,1.518793432,1.112258859,1.411009483,0,1.473352769,2.901421594,1.631199404,10,"ab",2,1,1,0.81,460.2380952,9664.837661,2
"2056","CZE000018303233","CZE",3.194583132,2.332143895,0,1.279614839,1.524275968,1.586308279,1.507958265,0.82458494,1.433793962,0,1.457646383,2.853592506,1.688711093,8,"ab",2,1,1,0.86,486.8095238,10222.82829,2
"2057","CZE000018303207","CZE",3.044522438,2.517696473,0,1.273297045,1.508613936,1.57411434,1.499211896,0.628858621,1.397363481,0,1.413194525,2.815408719,1.62924054,8,"ab",2,1,1,0.85,469.5238095,10139.74349,2
"2058","CZE000001400190","CZE",2.890371758,2.646174797,0,1.372306734,1.499211896,1.593306737,1.490025309,0.605904389,1.358504721,0,1.376270564,2.77570885,1.594324275,8,"ab",2,1,1,0.71,389.9047619,8420.306257,1
"2059","CZE000001400184","CZE",1.791759469,2.747270914,2.901421594,1.361340998,1.545193632,1.618705614,1.53305547,0.771565867,1.421698251,0,1.443324099,2.585254624,1.386294361,13,"bab",3,1,1,0.72,408,8535.967123,1
"2060","CZE000003100543","CZE",3.27336401,2.240709689,0,1.248441258,1.519410945,1.576801556,1.515043139,0.425678273,1.452401341,0,1.458506581,2.884800713,1.670062534,8,"ab",2,1,1,0.47,268.8571429,5645.905167,1
"2061","CZE000003100539","CZE",3.360375387,1.722766598,2.208274414,1.490748538,1.599249949,1.687867877,1.553014307,1.233613163,1.527839832,0.995008781,1.580320134,2.409194828,1.198046186,22,"abab",4,1,1,0.66,364.4285714,7870.127478,1
"2062","CZE000012702269","CZE",1.887069649,2.261763098,3.471966453,1.357071686,1.585042717,1.64461045,1.576356602,0.741276311,1.53305547,0,1.544124032,2.780887525,1.536039747,13,"bab",3,1,1,0.53,290.7142857,6278.208317,1
"2063","CZE000012702285","CZE",2.93385687,2.58021683,0,1.374957916,1.508613936,1.599638801,1.489299225,0.848012348,1.369620336,0,1.404304529,2.772588722,1.62924054,8,"ab",2,1,1,0.81,444.2380952,9593.678197,1
"2064","CZE000022804004","CZE",3.202746443,2.2300144,0,1.301321446,1.518793432,1.58714678,1.502625823,0.812157449,1.435738227,0,1.458506581,2.830267834,1.490654376,10,"ab",2,1,1,0.82,450.4761905,9728.39487,1
"2065","CZE000017103036","CZE",2.63188884,1.902107526,3.676300672,1.466076537,1.630405292,1.699995343,1.621794389,0.82458494,1.601185271,0,1.610903475,2.997397553,1.721392027,13,"bab",3,1,1,0.66,374.952381,7873.867744,1
"2066","CZE000017103037","CZE",3.417726684,2.163323026,2.351375257,1.315832419,1.592902976,1.642527254,1.582052614,0.82458494,1.545193632,0,1.558534911,2.539631549,1.360976553,17,"abab",4,1,1,0.92,521.7142857,10955.81598,2
"2067","CZE000017103033","CZE",1.85629799,2.415913778,3.852273001,1.49361331,1.641022693,1.713926568,1.636734244,0.628858621,1.601569673,1.407685588,1.60686069,3.071148913,1.649939856,15,"bab",3,1,1,0.82,453,9782.898562,2
"2068","CZE000020903695","CZE",1.62924054,1.589235205,2.525728644,1.426830326,1.466899121,1.594912194,1.39138759,1.147961726,1.337472404,0,1.431829862,2.014903021,1.126426977,13,"bab",3,1,1,0.71,400.952381,8419.858573,1
"2069","CZE000020903697","CZE",3.493472658,2.174751721,1.902107526,1.43766302,1.605365964,1.676665432,1.576356602,1.128774165,1.537566389,0,1.573209165,1.898369204,1.252762968,21,"abaaaaab",8,1,1,0.57,316.4285714,6833.528955,1
"2070","CZE000020903686","CZE",2.803360381,2.066862759,2.041220329,1.315832419,1.529595416,1.597685484,1.482632461,1.128774165,1.421698251,0,1.484134908,2.113238921,1.140845052,17,"abab",4,1,1,0.76,430.5238095,9040.848142,2
"2071","CZE000020903684","CZE",2.028148247,1.945910149,0,1.392597225,1.455042034,1.57591049,1.283727105,1.293678617,1.107951293,0,1.393799552,1.987874348,0.957912407,16,"ab",2,1,1,0.98,539.3333333,11647.33618,2
"2072","CZE000025704525","CZE",3.824284091,2.721295428,2.292534757,1.362744492,1.66303105,1.703088723,1.654919023,0.869741686,1.609810585,0,1.620428726,2.888981904,1.642986461,17,"abab",4,1,1,0.76,423,9036.800933,1
"2073","CZE000025704528","CZE",1.916922612,1.648658626,1.960094784,1.368263662,1.368263662,1.524874905,1.345232354,0.670651768,1.268981396,0,1.301321446,1.851076046,0.859313297,13,"bab",3,1,1,0.89,502.5238095,10552.82275,2
"2074","CZE000016702983","CZE",2.104134154,2.660259537,3.04927304,1.32776143,1.567675724,1.62648701,1.553523466,0.859075327,1.468533533,0,1.490748538,2.676444861,1.469291281,13,"bab",3,1,1,0.88,487,10431.70268,1
"2075","CZE000016702989","CZE",3.139832618,1.840549633,0,1.217741421,1.478050566,1.541421247,1.469345419,0.55499791,1.420655356,0,1.431829862,2.687847494,1.517870719,8,"ab",2,1,1,0.5,273.7619048,5912.108045,1
"2076","CZE000016702988","CZE",3.250374492,2.850706502,0,1.519410945,1.575014766,1.684452366,1.556047208,0.959134839,1.447007095,0,1.480355669,3.070375817,1.892735387,8,"ab",2,1,1,0.21,117.25,2462.423716,1
"2077","CZE000006401181","CZE",3.514526067,2.617395833,2.104134154,1.407685588,1.61696436,1.677389495,1.605365964,0.889981469,1.549408056,0,1.565316655,2.647946277,1.45312804,17,"abab",4,1,1,0.91,513.4761905,10782.81888,1
"2078","CZE000006401182","CZE",2.041220329,1.85629799,3.440418095,1.357071686,1.574565144,1.637353844,1.561958942,0.836525541,1.533625651,0,1.548363904,2.714694744,1.495493653,13,"bab",3,1,1,0.76,418.0952381,9029.102215,1
"2079","CZE000006401196","CZE",2.714694744,2.862200881,2.939161922,1.54087568,1.599638801,1.705117011,1.58963771,0.812157449,1.503300998,0,1.519410945,2.842969519,1.593933726,13,"bab",3,1,1,0.76,420.8095238,9087.719394,2
"2080","CZE000015302772","CZE",2.753660712,2.721295428,2.667228207,1.260087123,1.598077966,1.637971096,1.561958942,1.172486595,1.474931913,0,1.530756264,2.714694744,1.380394639,17,"abb",3,1,1,0.98,539.3333333,11647.33618,1
"2081","CZE000015302776","CZE",1.902107526,1.667706821,3.198673118,1.429845547,1.547839486,1.639198618,1.513138295,1.080417818,1.48338521,0,1.523675018,2.498699972,1.243794299,16,"bab",3,1,1,0.83,459.9047619,9932.012437,2
"2082","CZE000011902123","CZE",2.624668592,2.778819272,2.90690106,1.442392139,1.585887471,1.665645951,1.575463213,0.799206396,1.490025309,0,1.506639764,2.776746733,1.539345536,13,"bab",3,1,1,0.5,285.6190476,5997.899254,1
"2083","CZE000011902121","CZE",2.674148649,2.163323026,2.687847494,1.417492725,1.558534911,1.641927103,1.521859967,1.112258859,1.46771811,0,1.51567364,2.536338823,1.237521353,17,"abb",3,1,1,0.52,286.5714286,6188.739992,1
"2084","CZE000024604314","CZE",1.686398954,1.85629799,2.785011242,1.014454262,1.544124032,1.568143694,1.448822238,1.306879651,1.392597225,0,1.512498851,2.233592221,1.149164568,18,"bab",3,1,1,0.65,360.4761905,7784.772639,1
"2085","CZE000024604330","CZE",2.468099531,2.424802726,3.616308761,1.420655356,1.632648419,1.690989628,1.622473004,0.880036196,1.583340521,0,1.59610634,3.000719815,1.730974578,13,"bab",3,1,1,0.77,438.7142857,9212.845253,1
"2086","CZE000004900880","CZE",1.902107526,2.128231706,0,1.322731554,1.526659764,1.597292084,1.293678617,1.42581472,1.065437206,0,1.476497777,2.021547563,1.024247873,20,"ab",2,1,1,0.69,391.6666667,8224.861848,1
"2087","CZE000004900900","CZE",1.504077397,1.931521412,2.433613355,1.387714004,1.481876636,1.588396818,1.39499465,1.200683717,1.308700647,0.981219235,1.430840255,2.028148247,0.840783179,22,"bab",3,1,1,0.82,454.6666667,9818.891566,2
"2088","CZE000000100011","CZE",3.122364924,2.186051277,2.091864062,1.453285669,1.565316655,1.656574663,1.532483452,1.094562214,1.480355669,0,1.523072043,2.319933731,1.114360646,21,"abab",4,1,1,0.53,302,6341.893476,2
"2089","CZE000000100031","CZE",3.642835516,2.140066163,2.674148649,1.407685588,1.65268459,1.70267984,1.625492651,1.191657711,1.598469535,0,1.630082321,2.744060639,1.511070432,19,"abab",4,1,1,0.62,352.6190476,7404.875621,2
"2090","CZE000000100012","CZE",2.895911938,2.740840024,0,1.054939769,1.508613936,1.541421247,1.500585148,0.581353438,1.359927782,0,1.376270564,2.821378886,1.62924054,8,"ab",2,1,1,0.8,453.5714286,9524.840013,2
"2091","CZE000000100003","CZE",2.867898902,1.987874348,2.208274414,1.359927782,1.523675018,1.60461356,1.496434017,0.974053333,1.446092993,0,1.481117713,2.1690537,1.121869151,17,"abab",4,1,1,0.57,315.047619,6803.70618,2
"2092","CZE000000100006","CZE",1.757857918,2.517696473,2.587764035,1.39499465,1.495029093,1.598077966,1.478050566,0.785691023,1.359927782,0,1.390170564,2.351375257,1.21468446,13,"bab",3,1,1,0.6,330.4761905,7136.898562,2
"2093","CZE000019703433","CZE",2.63905733,2.208274414,0,1.228445035,1.421698251,1.505976903,1.40990776,0.55499791,1.291724673,0,1.312296506,2.446685437,1.328400383,8,"ab",2,1,1,0.76,416.4285714,8993.109211,2
"2094","CZE000024304268","CZE",3.04927304,2.985681938,0,1.485625239,1.550446021,1.659296593,1.544659645,0.55499791,1.398537369,0,1.411009483,3.017982882,1.791759469,8,"ab",2,1,1,0.52,294.8571429,6191.895996,1
"2095","CZE000004700828","CZE",2.949688335,2.116255515,0,1.35271144,1.459362876,1.564363936,1.452401341,0.462341012,1.373636673,0,1.383971599,2.617395833,1.452784102,8,"ab",2,1,1,0.58,320.2380952,6915.798679,2
"2096","CZE000013802492","CZE",3.826465117,2.104134154,0,1.306879651,1.612349588,1.65574898,1.603857758,0.785691023,1.57411434,0,1.584193747,2.270406195,1.710790407,12,"aaaaab",6,1,1,0.76,416.9047619,9003.392927,2
"2097","CZE000013802507","CZE",1.824549292,1.902107526,3.072693315,1.39138759,1.519410945,1.610903475,1.499899814,0.869741686,1.455914143,0.935137023,1.480355669,2.442347035,1.149384614,16,"bab",3,1,1,0.59,333.7619048,7008.882273,2
"2098","CZE000013802488","CZE",3.020424886,2.557227311,0,1.370967991,1.512498851,1.600799987,1.499211896,0.741276311,1.39138759,1.165733227,1.57591049,2.815408719,1.219564899,14,"ab",2,1,1,0.88,497.1428571,10439.82464,2
"2099","CZE000013802497","CZE",1.757857918,2.674148649,0,1.255501861,1.553523466,1.603098529,1.376270564,1.422735581,1.014454262,0,1.466899121,2.317473705,1.47780947,12,"ab",2,1,1,0.59,334.8571429,7031.881887,2
"2100","CZE000021703833","CZE",1.526056303,2.302585093,2.370243741,1.334285372,1.53305547,1.604236086,1.422735581,1.319310192,1.297534057,0,1.472558152,2.132192107,0.983099402,22,"bab",3,1,1,0.68,386,8105.863847,2
"2101","CZE000021703816","CZE",1.526056303,1.824549292,3.0301337,1.451512871,1.499899814,1.620771203,1.478050566,0.869741686,1.432814415,0,1.4602153,2.351375257,1.230539832,13,"bab",3,1,1,0.86,488.2380952,10252.82778,2
"2102","CZE000000300081","CZE",2.727852828,2.895911938,2.360854001,1.642227456,1.566264152,1.736836716,1.555545373,0.771565867,1.438618228,0,1.458506581,2.420368129,1.264459008,17,"abab",4,1,1,0.74,407.952381,8810.059075,1
"2103","CZE000000300080","CZE",3.100092289,2.564949357,0,1.136632126,1.523675018,1.56292495,1.511213131,0.741276311,1.411009483,0,1.431829862,2.867898902,1.686398954,8,"ab",2,1,1,0.71,392.8095238,8483.036922,1
"2104","CZE000000300090","CZE",1.916922612,2.091864062,2.990719732,1.094562214,1.515043139,1.550962705,1.501948135,0.741276311,1.446092993,0,1.463586924,2.451005098,1.280933845,13,"bab",3,1,1,0.74,407.4,8820.481126,1
"2105","CZE000000300075","CZE",2.778819272,2.451005098,0,1.361340998,1.466899121,1.571384381,1.455042034,0.628858621,1.329411599,0.848012348,1.53812226,2.628285233,1.311031877,10,"ab",2,1,1,0.67,378.8095238,7954.866383,1
"2106","CZE000000300065","CZE",3.299533728,3.608211551,0,1.326098161,1.641022693,1.680725082,1.637662763,0.55499791,1.458506581,0,1.46771811,3.465735903,2.184645795,8,"ab",2,1,1,0.87,477.0952381,10303.25457,2
"2107","CZE000004300753","CZE",3.563882964,2.292534757,0,1.214985069,1.572299194,1.611628103,1.566264152,0.605904389,1.518173788,0,1.52606679,3.117949906,1.881371628,8,"ab",2,1,1,0.67,370.952381,8011.01438,1
"2108","CZE000004300740","CZE",2.734367509,2.509599262,0,1.413194525,1.46525033,1.588811458,1.455042034,0.581353438,1.317578463,0,1.337472404,2.628285233,1.473045288,8,"ab",2,1,1,0.8,452.2857143,9497.840466,1
"2109","CZE000005501014","CZE",3.589059119,2.459588842,0,1.431829862,1.582482999,1.660640379,1.578569895,0.495826022,1.523675018,0,1.529012141,3.175968324,1.924248652,8,"ab",2,1,1,0.89,490.2857143,10588.11349,1
"2110","CZE000005500994","CZE",2.980618636,2.944438979,0,1.39499465,1.546256762,1.628131015,1.532483452,0.812157449,1.381437243,1.301321446,1.622134045,2.962692419,1.450832882,12,"ab",2,1,1,0.93,514.4761905,11110.52623,2
"2111","CZE000009901770","CZE",1.887069649,2.186051277,0,1.405438012,1.322731554,1.524874905,1.301321446,0.581353438,1.060242025,0,1.116492721,2.047692843,1.042923383,8,"ab",2,1,1,0.43,242.7619048,5097.914371,1
"2112","CZE000024704349","CZE",3.761200116,2.493205453,0,1.449723356,1.612349588,1.68422199,1.607603067,0.605904389,1.560499762,0,1.56673596,3.316002536,2.054123734,8,"ab",2,1,1,0.37,209.1904762,4392.926213,1
"2113","CZE000024704337","CZE",1.704748092,1.824549292,3.242592351,1.39138759,1.531909585,1.618358826,1.518173788,0.785691023,1.482632461,0,1.499211896,2.520381038,1.339041476,13,"bab",3,1,1,0.39,212.4285714,4587.565488,1
"2114","CZE000024704355","CZE",2.501435952,2.341805806,0,1.362744492,1.419606842,1.546785924,1.404304529,0.628858621,1.253173156,0,1.283727105,2.424802726,1.32175584,8,"ab",2,1,1,0.57,311.5714286,6728.635056,1
"2115","CZE000020203524","CZE",2.208274414,2.721295428,2.564949357,1.295614983,1.53133386,1.594512259,1.518173788,0.771565867,1.398537369,0,1.422735581,2.520381038,1.337023312,13,"bab",3,1,1,0.47,263.8571429,5540.90693,1
"2116","CZE000023804186","CZE",2.960105096,2.2300144,2.370243741,1.400864468,1.573209165,1.646667171,1.530176787,1.175792346,1.474144014,0,1.530756264,2.310057108,1.1091625,22,"abab",4,1,1,0.84,478.3809524,10045.83126,2
"2117","CZE000007001275","CZE",1.481604541,1.774952351,2.370243741,1.303190303,1.393799552,1.511857135,1.372306734,0.689767362,1.293678617,0,1.324421601,1.945910149,0.92242572,13,"bab",3,1,1,0.65,370.2380952,7774.869407,1
"2118","CZE000007001264","CZE",3.230804396,2.251291799,2.595254707,1.396182601,1.597685484,1.661707325,1.575463213,1.043997566,1.532483452,0,1.560499762,1.795456331,1.079194203,26,"abaaaaabb",9,1,1,0.37,200.4736842,4434.534975,1
"2119","CZE000025904558","CZE",1.931521412,2.186051277,3.517497837,1.478822119,1.592092549,1.680016249,1.581188573,0.82458494,1.54304789,0,1.556547601,2.803360381,1.563796631,13,"bab",3,1,1,0.65,357.2,7725.680759,2
"2120","CZE000025904556","CZE",2.332143895,1.824549292,1.871802177,1.362744492,1.444251535,1.559520114,1.397363481,0.995008781,1.324421601,0,1.388946064,1.791759469,0.828321959,19,"abab",4,1,1,0.58,328.4285714,6896.884154,2
"2121","CZE000002700454","CZE",1.481604541,2.219203484,3.449987546,1.41855265,1.611266183,1.675938025,1.56098752,1.271149848,1.51567364,0,1.578569895,2.710269958,1.641234687,13,"bab",3,1,1,0.68,372.7142857,8049.064127,1
"2122","CZE000002700449","CZE",2.00148,2.272125886,3.165475048,1.446092993,1.559028211,1.650703652,1.538676388,0.951362545,1.482632461,0,1.5099182,2.610069793,1.32972401,15,"bab",3,1,1,0.52,292.0952381,6133.89697,1
"2123","CZE000002700448","CZE",2.219203484,3.206803244,4.117409835,1.271149848,1.717126832,1.737976779,1.711239723,0.880036196,1.656848948,0,1.665126397,3.458417522,2.120878731,13,"bab",3,1,1,0.74,419.35,8806.971303,1
"2124","CZE000016402933","CZE",2.104134154,2.912350665,2.587764035,1.348256638,1.646082201,1.687867877,1.533625651,1.473352769,1.39138759,1.089935092,1.585042717,2.324835702,1.012092191,37,"abab",4,1,1,0.57,322.3809524,6769.886287,1
"2125","CZE000010001783","CZE",1.722766598,2.4765384,3.339321978,1.225816027,1.592092549,1.628784034,1.563885602,1.0991055,1.501948135,0,1.54087568,2.723486009,1.452394163,15,"bab",3,1,1,0.77,427.2380952,9226.549553,2
"2126","CZE000010001782","CZE",2.867898902,1.648658626,2.646174797,1.404304529,1.615204604,1.675451216,1.51567364,1.41210505,1.487103633,0,1.599638801,2.248656751,1.138818709,26,"abab",4,1,1,0.77,437.4761905,9186.84569,2
"2127","CZE000019403376","CZE",1.85629799,2.360854001,3.465735903,1.206511321,1.588396818,1.623485718,1.579009138,0.771565867,1.530756264,0,1.54304789,2.793208009,1.549197832,13,"bab",3,1,1,0.61,347.1428571,7289.877553,1
"2128","CZE000019403378","CZE",1.62924054,1.945910149,3.314186005,1.303190303,1.546256762,1.60648826,1.531909585,0.82458494,1.49361331,0,1.511213131,2.58021683,1.390133137,13,"bab",3,1,1,0.35,198.4761905,4167.929992,2
"2129","CZE000001300171","CZE",1.609437912,1.791759469,3.058707073,1.44791683,1.500585148,1.619741636,1.484134908,0.785691023,1.442392139,0,1.462749666,2.376454942,1.232784502,13,"bab",3,1,1,0.67,367.047619,7926.687913,2
"2130","CZE000018403240","CZE",2.797281335,2.714694744,0,1.419606842,1.495029093,1.60648826,1.485625239,0.605904389,1.334285372,0,1.354175179,2.756840365,1.578978705,8,"ab",2,1,1,0.31,168.952381,3648.662262,1
"2131","CZE000018403247","CZE",2.163323026,2.388762789,2.525728644,1.459362876,1.497132454,1.622473004,1.482632461,0.741276311,1.387714004,0,1.411009483,2.370243741,1.221510425,13,"bab",3,1,1,0.64,361,7581.534853,1
"2132","CZE000018403251","CZE",1.280933845,1.481604541,3.210843653,1.497828234,1.560499762,1.668982262,1.487838409,1.275423366,1.461063885,0,1.54304789,2.391816227,1.166434885,19,"bab",3,1,1,0.56,307.3333333,6637.109988,2
"2133","CZE000010501869","CZE",3.740047741,2.041220329,0,1.144243871,1.596502516,1.62382191,1.586728047,0.799206396,1.556047208,0,1.567675724,3.214867803,1.984443813,8,"ab",2,1,1,0.56,319.3809524,6706.887345,1
"2134","CZE000023304079","CZE",3.000719815,2.197224577,0,1.185439892,1.477275793,1.534760547,1.466899121,0.605904389,1.386474299,0,1.402017827,2.677590994,1.515127233,8,"ab",2,1,1,0.47,259.7142857,5608.738438,1
"2135","CZE000009201615","CZE",2.667228207,2.541601993,0,1.225816027,1.455914143,1.527839832,1.449723356,0.425678273,1.29943612,0,1.312296506,2.606386547,1.441019261,8,"ab",2,1,1,0.57,321.4761905,6750.886606,2
"2136","CZE000000900141","CZE",3.374168709,2.587764035,0,1.38522686,1.563885602,1.636734244,1.553014307,0.771565867,1.475716492,0,1.492186511,3.056356895,1.846484369,8,"ab",2,1,1,0.47,261.6666667,5650.901671,1
"2137","CZE000000900149","CZE",2.785011242,1.902107526,3.763522997,1.305042953,1.705318377,1.730662291,1.640720099,1.4602153,1.622473004,0,1.693399258,2.302585093,1.123871955,43,"baabbab",7,1,1,0.51,281.3809524,6076.647493,2
"2138","CZE000021903845","CZE",2.653241965,2.917770732,0,1.319310192,1.500585148,1.579447255,1.494322569,0.495826022,1.295614983,0,1.312296506,2.794227897,1.599387577,8,"ab",2,1,1,0.54,305.1,6413.943802,1
"2139","CZE000021903844","CZE",1.960094784,2.624668592,1.974081026,1.46771811,1.496434017,1.625492651,1.449723356,1.075521541,1.277529177,0,1.374957916,2.237157288,1.077558879,16,"bab",3,1,1,0.72,410.5,8596.998505,1
"2140","CZE000015202770","CZE",1.840549633,1.824549292,2.965273066,1.094562214,1.508613936,1.545726001,1.481117713,0.951362545,1.436703035,0,1.470958692,2.363993721,1.259334734,13,"bab",3,1,1,0.88,485.2380952,10479.1061,1
"2141","CZE000018603284","CZE",1.481604541,1.824549292,3.642835516,1.452401341,1.595311183,1.674227578,1.57812952,0.966695036,1.553523466,0,1.573209165,2.789118024,1.576596806,13,"bab",3,1,1,0.61,348.047619,7308.877234,2
"2142","CZE000012802300","CZE",3.005682604,2.821378886,0,1.185439892,1.528426951,1.573209165,1.52246703,0.526589034,1.387714004,0,1.39970434,2.917770732,1.704748092,8,"ab",2,1,1,0.61,338.4761905,7309.664983,1
"2143","CZE000028705086","CZE",3.109060959,2.533696814,0,1.339047794,1.516928057,1.594912194,1.5099182,0.55499791,1.413194525,0,1.424793762,2.862200881,1.660606199,8,"ab",2,1,1,0.57,321.8571429,6758.886472,1
"2144","CZE000028705080","CZE",3.433987204,2.4765384,2.501435952,1.471760135,1.621454031,1.695772078,1.603857758,1.020633576,1.556547601,0,1.579447255,2.640841451,1.470851749,17,"abab",4,1,1,0.43,236.047619,5097.637777,1
"2145","CZE000028705083","CZE",2.766319109,2.509599262,2.151762203,1.508613936,1.546785924,1.666163813,1.515043139,1.054939769,1.424793762,0,1.474144014,2.246014742,1.197481191,17,"abab",4,1,1,0.71,389.6190476,8414.136028,2
"2146","CZE000015602807","CZE",2.815408719,2.766319109,0,1.365522801,1.535888224,1.613783232,1.49361331,1.112258859,1.339047794,0,1.4237674,2.791165108,1.733865491,8,"ab",2,1,1,0.87,492.1904762,10335.82639,2
"2147","CZE000016602981","CZE",3.131136911,2.116255515,1.960094784,1.248441258,1.611266183,1.646958864,1.524275968,1.382708424,1.474144014,0,1.582482999,2.284930158,1.430873993,17,"abab",4,1,1,0.8,442.952381,9565.912165,1
"2148","CZE000028204986","CZE",1.667706821,3.148453361,3.421000009,1.144243871,1.62681713,1.649847158,1.618705614,0.799206396,1.51567364,0,1.530176787,2.982309253,1.706145717,13,"bab",3,1,1,0.76,430.5714286,9041.848126,2
"2149","CZE000028104976","CZE",2.332143895,2.442347035,2.360854001,1.255501861,1.62648701,1.66010422,1.484881577,1.482632461,1.383971599,0,1.587564483,2.379546134,1.265108804,23,"bab",3,1,1,0.31,168.25,3638.985968,1
"2150","CZE000028104984","CZE",3.540959324,3.387774361,0,1.349752311,1.641927103,1.684912102,1.637971096,0.605904389,1.513138295,0,1.52125084,3.467297183,2.188856328,8,"ab",2,1,1,0.41,231.9047619,4869.918201,1
"2151","CZE000028104977","CZE",3.015534901,2.197224577,0,1.449723356,1.479590479,1.610175679,1.469345419,0.605904389,1.390170564,0,1.405438012,2.687847494,1.523335213,8,"ab",2,1,1,0.71,391.4285714,8453.214147,1
