,Unnamed: 0,ID,cnt,time_A_total,time_b1,time_b2,time_B_total,time_start,time_end,time_solving,time_total,time_answer,time_not_answer,time_solving_2,events_num,avg_time_btw_events,sequence,length,credit,OECD
5906,5907,CAN000043210632,CAN,6.8,4.9,17.7,22.6,18.3,3.1,47,68.4,29.4,17.6,47,19,2.473684211,bab,3,1,1
5907,5908,CAN000043210650,CAN,16.9,5.2,0,5.2,16.8,3.2,26.4,46.4,22.1,4.3,26.4,10,2.64,ab,2,1,1
5908,5909,CAN000002300550,CAN,9,1.7,22.2,23.9,6.8,4.4,34.6,45.8,32.9,1.7,34.6,13,2.661538462,bab,3,1,1
5911,5912,CAN000006101321,CAN,2.9,4.7,9.7,14.4,17.8,3,36.6,57.4,17.3,19.3,36.6,31,1.180645161,bab,3,1,1
5914,5915,CAN000069016903,CAN,24,6.1,12,18.1,11.9,4.3,67.2,83.4,42.1,25.1,67.2,40,1.68,ababab,6,1,1
5915,5916,CAN000073117862,CAN,13.1,24.1,0,24.1,20.5,2.1,43.8,66.4,37.2,6.6,43.8,13,3.369230769,ab,2,1,1
5916,5917,CAN000073117865,CAN,6.6,7.3,0,7.3,16,4.8,14.9,35.7,13.9,1,14.9,8,1.8625,ab,2,1,1
5920,5921,CAN000075618422,CAN,19.4,10,0,10,16.6,2.9,29.5,49,29.4,0.1,29.5,8,3.6875,ab,2,1,1
5922,5923,CAN000051212794,CAN,28.5,7.9,51.4,59.3,16.9,8,204.4,229.3,87.8,116.6,204.4,53,3.856603774,bab,3,1,1
5924,5925,CAN000041310147,CAN,4.4,5.4,16.6,22,12.5,3.6,32.3,48.4,26.4,5.9,32.3,18,1.794444444,bab,3,1,1
5927,5928,CAN000072717768,CAN,28,34,0,34,20.9,6.3,82.8,110,62,20.8,82.8,22,3.763636364,aab,3,1,1
5931,5932,CAN000004300972,CAN,20.4,7.8,7.5,15.3,4.3,4,48.1,56.4,35.7,12.4,48.1,25,1.924,abab,4,1,1
5940,5941,CAN000039809772,CAN,6.7,20.9,13.5,34.4,27.1,3,61.5,91.6,41.1,20.4,61.5,27,2.277777778,abb,3,1,1
5945,5946,CAN000000200024,CAN,15.9,28.8,0,28.8,25.9,1.7,45.6,73.2,44.7,0.9,45.6,9,5.066666667,ab,2,1,1
5947,5948,CAN000016604135,CAN,10.3,15.2,0,15.2,12.9,2.5,32.1,47.5,25.5,6.6,32.1,8,4.0125,ab,2,1,1
5954,5955,CAN000044410907,CAN,42.3,6.9,18,24.9,21.7,3.3,70.8,95.8,67.2,3.6,70.8,17,4.164705882,abab,4,1,1
5955,5956,CAN000069917098,CAN,4,18.2,0,18.2,24.6,3.5,25.8,53.9,22.2,3.6,25.8,10,2.58,ab,2,1,1
5957,5958,CAN000069917100,CAN,17.2,5.3,0,5.3,8,6.6,25.5,40.1,22.5,3,25.5,8,3.1875,ab,2,1,1
5958,5959,CAN000069917078,CAN,7.6,3.4,30.7,34.1,21.7,2,43.7,67.4,41.7,2,43.7,23,1.9,babab,5,1,1
5962,5963,CAN000052313064,CAN,9.7,19.4,0,19.4,14.9,3.8,30.7,49.4,29.1,1.6,30.7,8,3.8375,ab,2,1,1
5972,5973,CAN000015603917,CAN,6.5,14.9,25.7,40.6,26.6,3.5,51.1,81.2,47.1,4,51.1,13,3.930769231,bab,3,1,1
5973,5974,CAN000015603925,CAN,12.9,6.5,0,6.5,27,3.7,21.7,52.4,19.4,2.3,21.7,8,2.7125,ab,2,1,1
5980,5981,CAN000032408086,CAN,49.4,11.8,0,11.8,4.4,2.6,62.9,69.9,61.2,1.7,62.9,8,7.8625,ab,2,1,1
5985,5986,CAN000065616178,CAN,39.2,11.3,0,11.3,77.4,6,54.6,138,50.5,4.1,54.6,10,5.46,ab,2,1,1
5989,5990,CAN000027206804,CAN,5.7,6.6,26.8,33.4,62.3,3.1,44.3,109.7,39.1,5.2,44.3,19,2.331578947,bbab,4,1,1
5996,5997,CAN000087921385,CAN,11.3,24.7,0,24.7,47.1,2.6,36.9,86.6,36,0.9,36.9,9,4.1,ab,2,1,1
5997,5998,CAN000087921396,CAN,2.3,4.2,12.5,16.7,16.1,4.8,23.4,44.3,19,4.4,23.4,13,1.8,bab,3,1,1
5998,5999,CAN000049612194,CAN,9.8,7.8,0,7.8,40.6,9.8,72.5,122.9,17.6,54.9,72.5,12,6.041666667,ab,2,1,1
6000,6001,CAN000023305800,CAN,19,5.9,0,5.9,8.9,1.8,31.7,42.4,24.9,6.8,31.7,12,2.641666667,ab,2,1,1
6002,6003,CAN000023305799,CAN,9.9,5.5,15.7,21.2,31.5,3.1,41.4,76,31.1,10.3,41.4,18,2.3,abb,3,1,1
6009,6010,CAN000011202596,CAN,28,6.1,24.9,31,27.5,2.8,62.4,92.7,59,3.4,62.4,17,3.670588235,abab,4,1,1
6012,6013,CAN000057014161,CAN,8.8,6.4,20.8,27.2,34.1,2.3,38.8,75.2,36,2.8,38.8,13,2.984615385,bab,3,1,1
6015,6016,CAN000032708156,CAN,6.8,4.5,15.3,19.8,22.2,2.9,29.1,54.2,26.6,2.5,29.1,13,2.238461538,bab,3,1,1
6023,6024,CAN000039609717,CAN,17.6,18.2,0,18.2,18.9,3.3,41.3,63.5,35.8,5.5,41.3,10,4.13,ab,2,1,1
6024,6025,CAN000039609721,CAN,24.5,4.1,16.5,20.6,14.6,5,59.8,79.4,45.1,14.7,59.8,41,1.458536585,abaabab,7,1,1
6027,6028,CAN000042710518,CAN,11.1,4,16.8,20.8,48.2,4,44.5,96.7,31.9,12.6,44.5,27,1.648148148,abbab,5,1,1
6030,6031,CAN000031807873,CAN,17.1,10.4,0,10.4,31,3.8,28.8,63.6,27.5,1.3,28.8,9,3.2,ab,2,1,1
6032,6033,CAN000006501418,CAN,21.3,17.8,0,17.8,14.4,3.7,43.3,61.4,39.1,4.2,43.3,10,4.33,ab,2,1,1
6033,6034,CAN000006501416,CAN,8.8,8,5.9,13.9,21.5,6.8,52.9,81.2,22.7,30.2,52.9,24,2.204166667,abab,4,1,1
6038,6039,CAN000005101097,CAN,30.6,7.3,10.6,17.9,38.5,2.9,59.7,101.1,48.5,11.2,59.7,23,2.595652174,abab,4,1,1
6041,6042,CAN000033608359,CAN,21.3,22.7,0,22.7,49.5,5.2,52.3,107,44,8.3,52.3,8,6.5375,ab,2,1,1
6042,6043,CAN000010702464,CAN,33.5,6.8,11.9,18.7,19.7,3.4,56.3,79.4,52.2,4.1,56.3,17,3.311764706,abab,4,1,1
6043,6044,CAN000010702468,CAN,33.6,9.5,7.6,17.1,15.6,3.2,54.1,72.9,50.7,3.4,54.1,17,3.182352941,abab,4,1,1
6053,6054,CAN000018304604,CAN,4.1,16.6,11.4,28,24.7,4,35.4,64.1,32.1,3.3,35.4,13,2.723076923,bab,3,1,1
6062,6063,CAN000035908904,CAN,45.5,7.1,13.7,20.8,27.6,2.6,69.8,100,66.3,3.5,69.8,17,4.105882353,abab,4,1,1
6064,6065,CAN000020205167,CAN,11,7.2,0,7.2,16.9,2.6,19.5,39,18.2,1.3,19.5,8,2.4375,ab,2,1,1
6065,6066,CAN000062315358,CAN,2.9,6,10.9,16.9,20.8,2.9,29.2,52.9,19.8,9.4,29.2,13,2.246153846,bab,3,1,1
6066,6067,CAN000062315364,CAN,14.2,13.9,16.9,30.8,21.7,3.4,48.1,73.2,45,3.1,48.1,13,3.7,bab,3,1,1
6067,6068,CAN000080519594,CAN,14.7,8.7,3.6,12.3,18.2,3.6,33.2,55,27,6.2,33.2,19,1.747368421,abab,4,1,1
6070,6071,CAN000054013444,CAN,12.5,4.6,4.2,8.8,9.6,2.3,27.7,39.6,21.3,6.4,27.7,17,1.629411765,abab,4,1,1
6071,6072,CAN000026306592,CAN,23.7,10.7,0,10.7,17.3,2.4,38.6,58.3,34.4,4.2,38.6,10,3.86,ab,2,1,1
6074,6075,CAN000081019709,CAN,31.4,5.8,12.3,18.1,13.5,2.9,72.2,88.6,49.5,22.7,72.2,31,2.329032258,aabab,5,1,1
6075,6076,CAN000081019705,CAN,13.4,6.6,0,6.6,14.6,2.8,24.2,41.6,20,4.2,24.2,10,2.42,ab,2,1,1
6080,6081,CAN000026906702,CAN,8.6,14,0,14,19.6,2,25.8,47.4,22.6,3.2,25.8,10,2.58,ab,2,1,1
6081,6082,CAN000026906705,CAN,9.4,4,14.6,18.6,20.7,2.5,38.8,62,28,10.8,38.8,20,1.94,abab,4,1,1
6082,6083,CAN000085120711,CAN,39.3,16.3,9.8,26.1,11.2,3.7,80.7,95.6,65.4,15.3,80.7,19,4.247368421,abb,3,1,1
6084,6085,CAN000085120714,CAN,4,5,14.3,19.3,10.2,5.2,25.7,41.1,23.3,2.4,25.7,13,1.976923077,bab,3,1,1
6087,6088,CAN000022005571,CAN,3.6,13.3,24.2,37.5,8.8,5.4,43.8,58,41.1,2.7,43.8,13,3.369230769,bab,3,1,1
6092,6093,CAN000083620379,CAN,4.7,7.8,11.8,19.6,20.6,4.2,27.1,51.9,24.3,2.8,27.1,13,2.084615385,bab,3,1,1
6098,6099,CAN000057714291,CAN,34.4,10.3,0,10.3,12,2.7,46.5,61.2,44.7,1.8,46.5,8,5.8125,ab,2,1,1
6099,6100,CAN000083920444,CAN,28.4,5.6,7.3,12.9,18.2,5.6,64,87.8,41.3,22.7,64,23,2.782608696,abab,4,1,1
6101,6102,CAN000083920426,CAN,7.6,9.8,27.4,37.2,28.9,3.9,52.6,85.4,44.8,7.8,52.6,25,2.104,babab,5,1,1
6102,6103,CAN000036008936,CAN,3.5,6.8,14.6,21.4,30.6,2.2,27.7,60.5,24.9,2.8,27.7,13,2.130769231,bab,3,1,1
6104,6105,CAN000084520572,CAN,22.6,8.7,0,8.7,11.8,7.8,32.3,51.9,31.3,1,32.3,8,4.0375,ab,2,1,1
6106,6107,CAN000067816643,CAN,25.2,8.5,0,8.5,11.7,1.6,35.2,48.5,33.7,1.5,35.2,8,4.4,ab,2,1,1
6112,6113,CAN000053413324,CAN,11.3,6.8,19.7,26.5,18.4,2.7,42.8,63.9,37.8,5,42.8,17,2.517647059,baaaaab,7,1,1
6114,6115,CAN000072617761,CAN,45.1,8.1,0,8.1,12.7,6.6,55.9,75.2,53.2,2.7,55.9,10,5.59,ab,2,1,1
6117,6118,CAN000056513994,CAN,21.4,10,12.5,22.5,12,4,47,63,43.9,3.1,47,17,2.764705882,abab,4,1,1
6118,6119,CAN000056514002,CAN,21.1,17.5,0,17.5,79.5,2.8,40.1,122.4,38.6,1.5,40.1,9,4.455555556,ab,2,1,1
6119,6120,CAN000021605477,CAN,19.3,19.4,0,19.4,17,1.6,40,58.6,38.7,1.3,40,8,5,ab,2,1,1
6121,6122,CAN000068816854,CAN,36.5,15.1,0,15.1,66,3,52.7,121.7,51.6,1.1,52.7,8,6.5875,ab,2,1,1
6123,6124,CAN000042910575,CAN,11.4,7.6,7.3,14.9,27.5,2.1,28.2,57.8,26.3,1.9,28.2,13,2.169230769,bab,3,1,1
6124,6125,CAN000042910577,CAN,5.1,5,11.3,16.3,23.4,2.6,28.1,54.1,21.4,6.7,28.1,16,1.75625,bab,3,1,1
6127,6128,CAN000021105360,CAN,35.5,7.6,0,7.6,17.9,2.5,43.7,64.1,43.1,0.6,43.7,8,5.4625,ab,2,1,1
6130,6131,CAN000013803348,CAN,15,4.1,13.3,17.4,30,2.3,57.7,90,32.4,25.3,57.7,36,1.602777778,ababab,6,1,1
6135,6136,CAN000007301553,CAN,18.3,7.4,0,7.4,34.8,3.9,27.7,66.4,25.7,2,27.7,8,3.4625,ab,2,1,1
6136,6137,CAN000007301566,CAN,4.7,18.8,26.7,45.5,17.9,2.6,53.2,73.7,50.2,3,53.2,13,4.092307692,bab,3,1,1
6137,6138,CAN000007301567,CAN,25.2,4.9,5.7,10.6,29.4,2.7,46.7,78.8,35.8,10.9,46.7,22,2.122727273,abab,4,1,1
6139,6140,CAN000045411118,CAN,4.3,12.1,0,12.1,12.4,2.4,17.7,32.5,16.4,1.3,17.7,8,2.2125,ab,2,1,1
6142,6143,CAN000081119738,CAN,5.6,5.5,0,5.5,14.6,3.1,13.1,30.8,11.1,2,13.1,10,1.31,ab,2,1,1
6152,6153,CAN000012903125,CAN,14.6,7.3,12.2,19.5,7.4,1.6,41.8,50.8,34.1,7.7,41.8,19,2.2,abab,4,1,1
6163,6164,CAN000035408788,CAN,27.7,11.7,0,11.7,20,2.2,40.4,62.6,39.4,1,40.4,8,5.05,ab,2,1,1
6165,6166,CAN000074318147,CAN,32.4,5,0,5,34.8,2.9,38.3,76,37.4,0.9,38.3,8,4.7875,ab,2,1,1
6166,6167,CAN000067416551,CAN,12.1,5,9.3,14.3,17.5,5.7,30,53.2,26.4,3.6,30,19,1.578947368,baab,4,1,1
6169,6170,CAN000067416553,CAN,16.9,6.5,10.7,17.2,15.3,2.9,67.8,86,34.1,33.7,67.8,47,1.442553191,aabbaaaaab,10,1,1
6172,6173,CAN000088221452,CAN,31.3,7.7,0,7.7,30.8,3.1,39.9,73.8,39,0.9,39.9,8,4.9875,ab,2,1,1
6173,6174,CAN000088221454,CAN,9.8,3.6,14.2,17.8,30.6,2.1,32.8,65.5,27.6,5.2,32.8,19,1.726315789,abab,4,1,1
6179,6180,CAN000076518674,CAN,5.5,4.9,0,4.9,20.6,5,11.9,37.5,10.4,1.5,11.9,8,1.4875,ab,2,1,1
6181,6182,CAN000076518676,CAN,38.9,17.9,0,17.9,11.2,2.7,58.5,72.4,56.8,1.7,58.5,8,7.3125,ab,2,1,1
6183,6184,CAN000014403495,CAN,35.4,7.4,0,7.4,14.3,2.5,44.7,61.5,42.8,1.9,44.7,8,5.5875,ab,2,1,1
6184,6185,CAN000014403505,CAN,36.2,9.2,0,9.2,6.5,3.2,47.2,56.9,45.4,1.8,47.2,8,5.9,ab,2,1,1
6185,6186,CAN000077818969,CAN,18.5,7,0,7,18.3,2.6,26.9,47.8,25.5,1.4,26.9,8,3.3625,ab,2,1,1
6186,6187,CAN000079919470,CAN,11.2,6.3,4.8,11.1,34.8,1.8,37,73.6,22.3,14.7,37,26,1.423076923,abab,4,1,1
6189,6190,CAN000046111284,CAN,21.1,10.5,8.6,19.1,13.3,2.4,43.7,59.4,40.2,3.5,43.7,17,2.570588235,abab,4,1,1
6193,6194,CAN000031207662,CAN,17,5.7,0,5.7,27.5,5.1,23.6,56.2,22.7,0.9,23.6,8,2.95,ab,2,1,1
6194,6195,CAN000033408279,CAN,58,8.1,0,8.1,21.6,3.4,76.1,101.1,66.1,10,76.1,18,4.227777778,aab,3,1,1
6196,6197,CAN000051012726,CAN,14.8,10,32.2,42.2,12.8,9.4,71.8,94,57,14.8,71.8,23,3.12173913,bbab,4,1,1
6201,6202,CAN000024706149,CAN,4.9,12.3,22.1,34.4,14.6,2.5,43.2,60.3,39.3,3.9,43.2,13,3.323076923,bab,3,1,1
6202,6203,CAN000076118588,CAN,9.7,5.7,25.4,31.1,15.1,2.8,43.3,61.2,40.8,2.5,43.3,14,3.092857143,bab,3,1,1
6210,6211,CAN000055713835,CAN,21.4,10,0,10,24,3.7,33.3,61,31.4,1.9,33.3,8,4.1625,ab,2,1,1
6213,6214,CAN000054913666,CAN,15.6,6.8,0,6.8,23.7,1.9,23.5,49.1,22.4,1.1,23.5,8,2.9375,ab,2,1,1
6216,6217,CAN000070417194,CAN,21.8,8.2,0,8.2,15.6,3.2,32.9,51.7,30,2.9,32.9,10,3.29,ab,2,1,1
6217,6218,CAN000070417198,CAN,19.1,9.1,0,9.1,21.4,4,29.9,55.3,28.2,1.7,29.9,8,3.7375,ab,2,1,1
6224,6225,CAN000002800640,CAN,8.5,5.8,9.8,15.6,25.3,3.6,30.9,59.8,24.1,6.8,30.9,24,1.2875,abab,4,1,1
6225,6226,CAN000002800657,CAN,13.6,3.5,15.6,19.1,33.5,2.6,38.7,74.8,32.7,6,38.7,21,1.842857143,abab,4,1,1
6226,6227,CAN000061215066,CAN,11.2,6.7,0,6.7,21.1,1.9,19.2,42.2,17.9,1.3,19.2,8,2.4,ab,2,1,1
6232,6233,CAN000064215855,CAN,65.9,39.5,0,39.5,15.3,8.8,108.6,132.7,105.4,3.2,108.6,8,13.575,ab,2,1,1
6235,6236,CAN000010002295,CAN,14.6,7.6,11.2,18.8,19.7,0.8,37.8,58.3,33.4,4.4,37.8,24,1.575,ababb,5,1,1
6239,6240,CAN000014803775,CAN,18.7,11.9,0,11.9,17,3.2,32.4,52.6,30.6,1.8,32.4,8,4.05,ab,2,1,1
6241,6242,CAN000014803796,CAN,6.7,7.3,0,7.3,15.2,2.6,14.8,32.6,14,0.8,14.8,8,1.85,ab,2,1,1
6247,6248,CAN000010202340,CAN,33.6,4.1,11.5,15.6,34.7,4.9,58.3,97.9,49.2,9.1,58.3,22,2.65,abab,4,1,1
6252,6253,CAN000010302387,CAN,39.4,26.1,0,26.1,14.3,2.8,77.9,95,65.5,12.4,77.9,8,9.7375,ab,2,1,1
6255,6256,CAN000063415562,CAN,8.3,5.5,11.2,16.7,21.5,3.8,29.5,54.8,25,4.5,29.5,13,2.269230769,bab,3,1,1
6256,6257,CAN000033308273,CAN,41.7,12.3,0,12.3,10,3.6,55.2,68.8,54,1.2,55.2,10,5.52,ab,2,1,1
6263,6264,CAN000072017621,CAN,29.8,16.7,0,16.7,20.4,2.6,48,71,46.5,1.5,48,8,6,ab,2,1,1
6265,6266,CAN000063615720,CAN,2.8,4.4,12.2,16.6,11.4,2.6,20.9,34.9,19.4,1.5,20.9,13,1.607692308,bab,3,1,1
6267,6268,CAN000026106531,CAN,2.4,4.4,19.3,23.7,15.2,2.1,31.5,48.8,26.1,5.4,31.5,16,1.96875,bab,3,1,1
6268,6269,CAN000078019031,CAN,9.9,4.1,17,21.1,14.4,5.4,33.2,53,31,2.2,33.2,13,2.553846154,bab,3,1,1
6270,6271,CAN000078019034,CAN,6.6,15.7,0,15.7,36.5,7.9,56.4,100.8,22.3,34.1,56.4,12,4.7,ab,2,1,1
6271,6272,CAN000078019013,CAN,14.8,7,29.3,36.3,16.4,3,57.6,77,51.1,6.5,57.6,19,3.031578947,baaaaab,7,1,1
6272,6273,CAN000075718444,CAN,24.1,5.6,0,5.6,2.5,4.2,32.3,39,29.7,2.6,32.3,10,3.23,ab,2,1,1
6274,6275,CAN000047011443,CAN,21.4,7.6,0,7.6,8.3,1.7,29.9,39.9,29,0.9,29.9,8,3.7375,ab,2,1,1
6275,6276,CAN000047011466,CAN,29.6,8.4,6.4,14.8,11.9,5.5,59.6,77,44.4,15.2,59.6,26,2.292307692,abaaaaab,8,1,1
6276,6277,CAN000017204300,CAN,6.4,3.7,32.6,36.3,13.7,9.7,46.8,70.2,42.7,4.1,46.8,20,2.34,babb,4,1,1
6277,6278,CAN000017204304,CAN,20.1,10.5,6.6,17.1,11.2,3,40.3,54.5,37.2,3.1,40.3,17,2.370588235,abab,4,1,1
6278,6279,CAN000032007956,CAN,5.2,7.6,0,7.6,11.3,1.7,13.8,26.8,12.8,1,13.8,8,1.725,ab,2,1,1
6279,6280,CAN000032007940,CAN,33.1,6.6,0,6.6,30.5,2.3,42.6,75.4,39.7,2.9,42.6,10,4.26,ab,2,1,1
6283,6284,CAN000081619859,CAN,31.3,10.7,0,10.7,26.7,4.8,46.6,78.1,42,4.6,46.6,15,3.106666667,aab,3,1,1
6284,6285,CAN000081619857,CAN,4.4,13.4,10.4,23.8,17.7,1.9,30.2,49.8,28.2,2,30.2,13,2.323076923,bab,3,1,1
6285,6286,CAN000081619860,CAN,5.5,9.6,11.7,21.3,16.7,2.9,78,97.6,26.8,51.2,78,36,2.166666667,abb,3,1,1
6286,6287,CAN000039709746,CAN,4.1,10,14,24,19.4,3.3,32.1,54.8,28.1,4,32.1,15,2.14,bab,3,1,1
6287,6288,CAN000012503010,CAN,14.2,12.1,0,12.1,17.4,2.1,27.5,47,26.3,1.2,27.5,8,3.4375,ab,2,1,1
6288,6289,CAN000012503022,CAN,4.1,7.4,14.8,22.2,14.3,3.3,29.8,47.4,26.3,3.5,29.8,15,1.986666667,bab,3,1,1
6289,6290,CAN000012503007,CAN,10.2,7.4,0,7.4,22.2,1.8,38.2,62.2,17.6,20.6,38.2,12,3.183333333,ab,2,1,1
6291,6292,CAN000031307712,CAN,3.8,9.2,0,9.2,20,2.3,18.4,40.7,13,5.4,18.4,8,2.3,ab,2,1,1
6294,6295,CAN000017704428,CAN,70.6,7.7,0,7.7,14.5,2.8,79.4,96.7,78.3,1.1,79.4,12,6.616666667,aaaaab,6,1,1
6298,6299,CAN000084220493,CAN,17.2,7.5,0,7.5,20.7,2.8,25.9,49.4,24.7,1.2,25.9,8,3.2375,ab,2,1,1
6299,6300,CAN000046411368,CAN,37.3,10.4,11.4,21.8,16.7,1.2,63.1,81,59.1,4,63.1,19,3.321052632,abab,4,1,1
6300,6301,CAN000046411357,CAN,7.8,7.6,7,14.6,67.7,1.9,26.1,95.7,22.4,3.7,26.1,15,1.74,bab,3,1,1
6305,6306,CAN000002000463,CAN,3,4.3,6.5,10.8,19,1.6,39.5,60.1,13.8,25.7,39.5,24,1.645833333,bab,3,1,1
6307,6308,CAN000024506120,CAN,3.2,5.3,5.5,10.8,23.8,5.9,24.6,54.3,14,10.6,24.6,19,1.294736842,bab,3,1,1
6311,6312,CAN000017504390,CAN,11.1,6,0,6,54,3.6,17.9,75.5,17.1,0.8,17.9,8,2.2375,ab,2,1,1
6327,6328,CAN000033808403,CAN,42.7,10.6,0,10.6,28,2.7,56,86.7,53.3,2.7,56,8,7,ab,2,1,1
6330,6331,CAN000020505213,CAN,35.9,13.3,0,13.3,24.7,3.1,52.1,79.9,49.2,2.9,52.1,8,6.5125,ab,2,1,1
6337,6338,CAN000028707123,CAN,7.2,24.8,0,24.8,12.5,4.5,33.5,50.5,32,1.5,33.5,8,4.1875,ab,2,1,1
6338,6339,CAN000028707138,CAN,11,5.8,0,5.8,11.7,2.4,18.9,33,16.8,2.1,18.9,8,2.3625,ab,2,1,1
6340,6341,CAN000015403883,CAN,17.3,22.8,0,22.8,14.3,3.8,41.4,59.5,40.1,1.3,41.4,9,4.6,ab,2,1,1
6342,6343,CAN000038409418,CAN,4.1,18.2,19.8,38,11.6,2.3,46.9,60.8,42.1,4.8,46.9,15,3.126666667,bab,3,1,1
6343,6344,CAN000038409437,CAN,30,10.4,11.3,21.7,44.4,10.8,59.5,114.7,51.7,7.8,59.5,22,2.704545455,abbab,5,1,1
6344,6345,CAN000038409443,CAN,38.6,6.8,16.7,23.5,47.6,2.8,69.2,119.6,62.1,7.1,69.2,28,2.471428571,ababab,6,1,1
6348,6349,CAN000055613827,CAN,4.6,4.6,61.9,66.5,19.6,3,88.3,110.9,71.1,17.2,88.3,31,2.848387097,bbab,4,1,1
6369,6370,CAN000006801473,CAN,19.2,7,0,7,31.3,2.2,27.6,61.1,26.2,1.4,27.6,8,3.45,ab,2,1,1
6372,6373,CAN000007701645,CAN,19.4,10.5,0,10.5,13.2,4.3,31.9,49.4,29.9,2,31.9,8,3.9875,ab,2,1,1
6373,6374,CAN000007701657,CAN,3.5,4.3,20.6,24.9,17.3,3.3,35.6,56.2,28.4,7.2,35.6,18,1.977777778,babb,4,1,1
6378,6379,CAN000085720871,CAN,28.6,12.3,0,12.3,13.1,2.4,43,58.5,40.9,2.1,43,8,5.375,ab,2,1,1
6379,6380,CAN000085720865,CAN,10.8,7.9,8.1,16,17.2,2.7,30.9,50.8,26.8,4.1,30.9,17,1.817647059,abab,4,1,1
6380,6381,CAN000061415113,CAN,43.8,16.2,0,16.2,17.7,5.7,61.5,84.9,60,1.5,61.5,8,7.6875,ab,2,1,1
6382,6383,CAN000070317181,CAN,13.3,6.3,6.2,12.5,26.1,1.7,46,73.8,25.8,20.2,46,27,1.703703704,abab,4,1,1
6383,6384,CAN000008901908,CAN,5,14.1,47.1,61.2,11.7,3.3,69.1,84.1,66.2,2.9,69.1,13,5.315384615,bab,3,1,1
6386,6387,CAN000074418156,CAN,42.5,5.7,39,44.7,19.4,2,89.4,110.8,87.2,2.2,89.4,13,6.876923077,bab,3,1,1
6388,6389,CAN000074418163,CAN,7.4,27,54.4,81.4,12.9,3.3,94.3,110.5,88.8,5.5,94.3,14,6.735714286,bab,3,1,1
6391,6392,CAN000007501605,CAN,6,10.4,16.5,26.9,28.3,2.7,36.5,67.5,32.9,3.6,36.5,14,2.607142857,abb,3,1,1
6408,6409,CAN000019504862,CAN,29,19.5,0,19.5,33.3,3,49.5,85.8,48.5,1,49.5,8,6.1875,ab,2,1,1
6416,6417,CAN000069416968,CAN,19.7,7.3,4.5,11.8,6.7,3.1,38.9,48.7,31.5,7.4,38.9,21,1.852380952,abab,4,1,1
6435,6436,CAN000017904486,CAN,4.9,4.9,23.2,28.1,28.4,2.3,38.6,69.3,33,5.6,38.6,15,2.573333333,bab,3,1,1
6439,6440,CAN000039009551,CAN,27.1,21.8,0,21.8,20,2.1,50.9,73,48.9,2,50.9,8,6.3625,ab,2,1,1
6440,6441,CAN000039009565,CAN,12.3,12.7,0,12.7,31.3,2.9,26.6,60.8,25,1.6,26.6,8,3.325,ab,2,1,1
6441,6442,CAN000071117337,CAN,24.4,9.9,0,9.9,36.6,2.3,35.5,74.4,34.3,1.2,35.5,8,4.4375,ab,2,1,1
6444,6445,CAN000052012972,CAN,39.1,19.4,0,19.4,65.5,4.1,70.6,140.2,58.5,12.1,70.6,10,7.06,ab,2,1,1
6445,6446,CAN000080319546,CAN,10.9,10.5,6.9,17.4,32.2,2.5,66.4,101.1,28.3,38.1,66.4,30,2.213333333,abab,4,1,1
6447,6448,CAN000075518398,CAN,12.6,10.2,27.3,37.5,23.7,20.2,53,96.9,50.1,2.9,53,13,4.076923077,bab,3,1,1
6456,6457,CAN000011602735,CAN,14.6,10,0,10,14.5,2.9,25.7,43.1,24.6,1.1,25.7,8,3.2125,ab,2,1,1
6459,6460,CAN000003200731,CAN,19.9,5.3,27.7,33,20.2,2.6,61.9,84.7,52.9,9,61.9,18,3.438888889,bab,3,1,1
6460,6461,CAN000003200734,CAN,13.5,16,0,16,16.8,3.3,30.2,50.3,29.5,0.7,30.2,8,3.775,ab,2,1,1
6463,6464,CAN000001800408,CAN,21.2,12,8.1,20.1,25.6,3,58.4,87,41.3,17.1,58.4,27,2.162962963,abb,3,1,1
6468,6469,CAN000029307269,CAN,47.2,13.4,0,13.4,25.8,3.7,61.6,91.1,60.6,1,61.6,8,7.7,ab,2,1,1
6469,6470,CAN000029307266,CAN,4.2,8.3,13.1,21.4,35,2.9,34.4,72.3,25.6,8.8,34.4,16,2.15,bab,3,1,1
6473,6474,CAN000066716404,CAN,3.5,7.8,16.3,24.1,13.1,3.9,32.5,49.5,27.6,4.9,32.5,15,2.166666667,bab,3,1,1
6475,6476,CAN000066716412,CAN,11.2,11.8,0,11.8,26.2,2.2,27.8,56.2,23,4.8,27.8,11,2.527272727,ab,2,1,1
6483,6484,CAN000046011267,CAN,15.5,9.6,17.5,27.1,33.5,6.5,47.8,87.8,42.6,5.2,47.8,21,2.276190476,abab,4,1,1
6495,6496,CAN000081819907,CAN,13.1,6.7,0,6.7,16.4,3.5,20.4,40.3,19.8,0.6,20.4,8,2.55,ab,2,1,1
6499,6500,CAN000036509027,CAN,4,5,15.3,20.3,15.2,2.6,34.9,52.7,24.3,10.6,34.9,18,1.938888889,bab,3,1,1
6503,6504,CAN000045711191,CAN,35.1,8,0,8,12.2,4.6,46.3,63.1,43.1,3.2,46.3,11,4.209090909,ab,2,1,1
6523,6524,CAN000008801867,CAN,33.6,10.1,10.9,21,17.8,2.2,63,83,54.6,8.4,63,24,2.625,abaaaaab,8,1,1
