,Unnamed: 0,ID,cnt,time_A_total,time_b1,time_b2,time_B_total,time_start,time_end,time_solving,time_total,time_answer,time_not_answer,time_solving_2,events_num,avg_time_btw_events,sequence,length,credit,OECD
521,522,ARE000011602904,ARE,33.9,7.6,19.5,27.1,13.8,2.9,66,82.7,61,5,66,14,4.714285714,abb,3,1,0
528,529,ARE000013803475,ARE,10.5,7,58.8,65.8,17.8,6.9,79.1,103.8,76.3,2.8,79.1,14,5.65,bab,3,1,0
533,534,ARE000033208436,ARE,25.4,20.1,0,20.1,27.5,3,51.7,82.2,45.5,6.2,51.7,8,6.4625,ab,2,1,0
535,536,ARE000006301615,ARE,14.3,12,0,12,13,2,29.3,44.3,26.3,3,29.3,10,2.93,ab,2,1,0
539,540,ARE000028907353,ARE,66.4,37.4,0,37.4,13.1,17.3,111,141.4,103.8,7.2,111,8,13.875,ab,2,1,0
544,545,ARE000030107637,ARE,2.9,3.1,25.4,28.5,17.5,3.3,73,93.8,31.4,41.6,73,40,1.825,bbabb,5,1,0
551,552,ARE000028207204,ARE,4.8,6.8,20.3,27.1,40.5,2,54.6,97.1,31.9,22.7,54.6,17,3.211764706,bab,3,1,0
565,566,ARE000000700191,ARE,34.2,9.7,28.4,38.1,27.9,2.6,79.4,109.9,72.3,7.1,79.4,13,6.107692308,bab,3,1,0
568,569,ARE000003300782,ARE,5.9,8.7,13.7,22.4,10,2.2,30.4,42.6,28.3,2.1,30.4,13,2.338461538,bab,3,1,0
575,576,ARE000026306705,ARE,27.1,12.1,9.3,21.4,19.9,3.9,59.1,82.9,48.5,10.6,59.1,23,2.569565217,abab,4,1,0
577,578,ARE000032508265,ARE,25.6,8,25.6,33.6,15.8,3.7,67.1,86.6,59.2,7.9,67.1,22,3.05,abbab,5,1,0
580,581,ARE000001900472,ARE,8.3,8,0,8,20.5,3.4,20.3,44.2,16.3,4,20.3,11,1.845454545,ab,2,1,0
583,584,ARE000031808076,ARE,28,12.3,0,12.3,17.2,2.8,42.2,62.2,40.3,1.9,42.2,8,5.275,ab,2,1,0
584,585,ARE000031808094,ARE,24.7,34.4,0,34.4,14.2,4.2,60.3,78.7,59.1,1.2,60.3,11,5.481818182,ab,2,1,0
585,586,ARE000005301373,ARE,11.1,4.5,16.1,20.6,16.9,2.6,38.8,58.3,31.7,7.1,38.8,15,2.586666667,bab,3,1,0
586,587,ARE000005301378,ARE,5.7,5.3,38.5,43.8,22.9,5.3,53.5,81.7,49.5,4,53.5,13,4.115384615,bab,3,1,0
589,590,ARE000014503631,ARE,16.5,9.8,0,9.8,16.9,3.2,27.9,48,26.3,1.6,27.9,8,3.4875,ab,2,1,0
594,595,ARE000003000719,ARE,4.6,2.8,14.1,16.9,19.5,4.7,43.8,68,21.5,22.3,43.8,26,1.684615385,babb,4,1,0
597,598,ARE000013603419,ARE,8.3,4.7,27.4,32.1,24.2,2.9,43.2,70.3,40.4,2.8,43.2,13,3.323076923,bab,3,1,0
598,599,ARE000017504447,ARE,30,14.3,0,14.3,42.2,4.5,46,92.7,44.3,1.7,46,8,5.75,ab,2,1,0
599,600,ARE000017504444,ARE,13.3,9.7,0,9.7,15.8,2.8,27.3,45.9,23,4.3,27.3,10,2.73,ab,2,1,0
601,602,ARE000038209628,ARE,15.5,11.4,58.1,69.5,33.6,5.1,101.5,140.2,85,16.5,101.5,20,5.075,bab,3,1,0
605,606,ARE000000300058,ARE,20.8,11.9,0,11.9,21.6,1.9,33.9,57.4,32.7,1.2,33.9,8,4.2375,ab,2,1,0
607,608,ARE000000300059,ARE,17.3,8.5,0,8.5,19.3,4.5,27.9,51.7,25.8,2.1,27.9,8,3.4875,ab,2,1,0
612,613,ARE000041710497,ARE,6.1,15.4,21.5,36.9,28.4,4.6,48.2,81.2,43,5.2,48.2,13,3.707692308,bab,3,1,0
620,621,ARE000019404949,ARE,2.8,4.2,18.6,22.8,16.2,8,41.7,65.9,25.6,16.1,41.7,32,1.303125,babb,4,1,0
622,623,ARE000004000994,ARE,13.7,14.2,0,14.2,23.3,3.3,72.8,99.4,27.9,44.9,72.8,12,6.066666667,ab,2,1,0
