stu_id,sequence,length
ARE000026806844,bab,3.0
ARE000033308439,aa,2.0
ARE000018104613,bb,2.0
ARE000000400093,bab,3.0
ARE000000400106,ab,2.0
ARE000020005113,b,1.0
ARE000020005121,a,1.0
ARE000042610703,aab,3.0
ARE000042610704,ab,2.0
ARE000042610713,bab,3.0
ARE000042610714,b,1.0
ARE000006101583,b,1.0
ARE000006101596,b,1.0
ARE000010802666,b,1.0
ARE000010802674,ab,2.0
ARE000017404411,abab,4.0
ARE000017404426,abab,4.0
ARE000035608951,ab,2.0
ARE000014803724,ab,2.0
ARE000014803713,abab,4.0
ARE000042110585,a,1.0
ARE000042110587,aaaaaaaaa,9.0
ARE000033608504,bab,3.0
ARE000012303067,ab,2.0
ARE000012303060,abbab,5.0
ARE000030307720,b,1.0
ARE000003600884,b,1.0
ARE000035508924,aa,2.0
ARE000035508942,b,1.0
ARE000035708987,bb,2.0
ARE000035708979,b,1.0
ARE000035708980,ab,2.0
ARE000024606266,bab,3.0
ARE000024606258,ab,2.0
ARE000045111333,b,1.0
ARE000019004895,b,1.0
ARE000019004881,ab,2.0
ARE000043110843,b,1.0
ARE000002000502,b,1.0
ARE000008202018,b,1.0
ARE000008202041,ab,2.0
ARE000004301073,b,1.0
ARE000015603889,a,1.0
ARE000015603908,ab,2.0
ARE000043010821,b,1.0
ARE000029507514,b,1.0
ARE000029507493,b,1.0
ARE000040310172,b,1.0
ARE000017004315,b,1.0
ARE000012803183,ab,2.0
ARE000012803186,b,1.0
ARE000025906589,b,1.0
ARE000019104904,bab,3.0
ARE000019104902,b,1.0
ARE000009102235,bb,2.0
ARE000021405468,ab,2.0
ARE000019605007,b,1.0
ARE000040710262,b,1.0
ARE000030407729,b,1.0
ARE000030407760,b,1.0
ARE000045811484,aab,3.0
ARE000023606035,ab,2.0
ARE000027106914,a,1.0
ARE000023706059,ab,2.0
ARE000023706055,ab,2.0
ARE000039309908,b,1.0
ARE000014303604,b,1.0
ARE000032708307,a,1.0
ARE000040610213,ab,2.0
ARE000040610220,ab,2.0
ARE000040610214,b,1.0
ARE000027407004,ab,2.0
ARE000001800437,b,1.0
ARE000020905322,b,1.0
ARE000036209112,ab,2.0
ARE000010202495,a,1.0
ARE000006701718,b,1.0
ARE000015403874,a,1.0
ARE000042910781,bab,3.0
AUS000003200615,b,1.0
AUS000065312198,bb,2.0
AUS000065312202,ab,2.0
AUS000065312190,bab,3.0
AUS000018403450,ab,2.0
AUS000013902574,b,1.0
AUS000013902590,b,1.0
AUS000013902597,bab,3.0
AUS000036906804,b,1.0
AUS000072413486,ab,2.0
AUS000014602748,ab,2.0
AUS000004400849,bab,3.0
AUS000068912889,ab,2.0
AUS000070313133,abab,4.0
AUS000070313123,b,1.0
AUS000075014035,b,1.0
AUS000002800542,a,1.0
AUS000002800552,ba,2.0
AUS000073813795,b,1.0
AUS000073813791,bb,2.0
AUS000077014373,bab,3.0
AUS000077014372,b,1.0
AUS000016203034,aaaaab,6.0
AUS000016203039,ab,2.0
AUS000027305080,b,1.0
AUS000048609011,ab,2.0
AUS000048609015,bab,3.0
AUS000060111204,b,1.0
AUS000040207434,aba,3.0
AUS000005401039,bbab,4.0
AUS000042507858,abab,4.0
AUS000042507870,ab,2.0
AUS000000300041,abab,4.0
AUS000020003731,abab,4.0
AUS000020003715,abab,4.0
AUS000073713763,abab,4.0
AUS000073713766,ab,2.0
AUS000042807925,ab,2.0
AUS000001300236,ab,2.0
AUS000001300240,ab,2.0
AUS000037606951,bab,3.0
AUS000037606956,ab,2.0
AUS000004900939,bab,3.0
AUS000004900936,b,1.0
AUS000048909074,ab,2.0
AUS000027705167,ab,2.0
AUS000027705186,ab,2.0
AUS000075214067,a,1.0
AUS000075214065,a,1.0
AUS000034706445,bab,3.0
AUS000034706444,aaaaabab,8.0
AUS000049009082,ab,2.0
AUS000049009077,bab,3.0
AUS000049009093,ababb,5.0
AUS000041207618,ababab,6.0
AUS000000800138,abab,4.0
AUS000043408035,b,1.0
AUS000043408055,b,1.0
AUS000064912112,b,1.0
AUS000064912119,ab,2.0
AUS000064912108,ab,2.0
AUS000033606251,abab,4.0
AUS000001200216,ab,2.0
AUS000001200217,b,1.0
AUS000005301013,b,1.0
AUS000048308947,ab,2.0
AUS000048308943,b,1.0
AUS000038807177,ab,2.0
AUS000021303948,b,1.0
AUS000052709795,b,1.0
AUS000073513725,b,1.0
AUS000073513733,ba,2.0
AUS000032306008,b,1.0
AUS000029605501,ab,2.0
AUS000029605502,ab,2.0
AUS000001800333,b,1.0
AUS000001800335,ab,2.0
AUS000001800337,b,1.0
AUS000044708291,bab,3.0
AUS000044708282,bab,3.0
AUS000044708295,b,1.0
AUS000066812490,ab,2.0
AUS000066812499,b,1.0
AUS000066812501,ab,2.0
AUS000037106854,b,1.0
AUS000037106847,a,1.0
AUS000065912323,ab,2.0
AUS000065912326,b,1.0
AUS000027205071,a,1.0
AUS000031405844,b,1.0
AUS000031405839,aab,3.0
AUS000031405828,b,1.0
AUS000033106152,abab,4.0
AUS000033106142,ab,2.0
AUS000056310472,ab,2.0
AUS000056310475,ab,2.0
AUS000003000582,b,1.0
AUS000003000575,bab,3.0
AUS000003000584,ab,2.0
AUS000003000574,bab,3.0
AUS000048508986,ab,2.0
AUS000048508978,bb,2.0
AUS000055610333,bab,3.0
AUS000055610346,a,1.0
AUS000049409171,abbbab,6.0
AUS000049409179,aa,2.0
AUS000049409166,b,1.0
AUS000015102844,b,1.0
AUS000070713202,b,1.0
AUS000070713192,ab,2.0
AUS000035306564,a,1.0
AUS000035306566,abab,4.0
AUS000005000957,aa,2.0
AUS000005000964,ab,2.0
AUS000060411259,b,1.0
AUS000042107776,a,1.0
AUS000073013616,abaaaaaaaaab,12.0
AUS000073013620,b,1.0
AUS000032706074,ab,2.0
AUS000025304659,bab,3.0
AUS000025304662,abb,3.0
AUS000033306190,b,1.0
AUS000033306197,b,1.0
AUS000072913600,a,1.0
AUS000055710350,ab,2.0
AUS000055710364,b,1.0
AUS000055710354,a,1.0
AUS000064111964,abab,4.0
AUS000064111961,ab,2.0
AUS000011202085,b,1.0
AUS000074713960,abab,4.0
AUS000074213875,b,1.0
AUS000074213870,ab,2.0
AUS000074213865,b,1.0
AUS000007701440,a,1.0
AUS000007701445,b,1.0
AUS000007701454,abab,4.0
AUS000007701452,abab,4.0
AUS000044208195,a,1.0
AUS000059611091,ab,2.0
AUS000042407847,ab,2.0
AUS000029805534,bab,3.0
AUS000012202278,b,1.0
AUS000012202270,aba,3.0
AUS000075314083,a,1.0
AUS000075314091,b,1.0
AUS000010001882,ab,2.0
AUS000070413149,b,1.0
AUS000014802788,bb,2.0
AUS000014802790,ab,2.0
AUS000053109848,b,1.0
AUS000053109861,aaaaab,6.0
AUS000034806485,b,1.0
AUS000051409558,bab,3.0
AUS000072213453,abab,4.0
AUS000072213452,ba,2.0
AUS000044608279,b,1.0
AUS000021503989,b,1.0
AUS000008301552,b,1.0
AUS000008301551,a,1.0
AUS000028705358,ab,2.0
AUS000051309529,a,1.0
AUS000019903701,b,1.0
AUS000013002413,a,1.0
AUS000076114231,bab,3.0
AUS000051009487,b,1.0
AUS000051009479,a,1.0
AUS000007601436,ab,2.0
AUS000035406577,bbabb,5.0
AUS000035406576,b,1.0
AUS000059211032,ab,2.0
AUS000063811916,bb,2.0
AUS000042207797,ab,2.0
AUS000042207803,ab,2.0
AUS000042207795,b,1.0
AUS000067312580,b,1.0
AUS000067312595,b,1.0
AUS000061811521,b,1.0
AUS000065712292,b,1.0
AUS000065712291,ab,2.0
AUS000065712288,b,1.0
AUS000016003007,ab,2.0
AUS000016002998,ab,2.0
AUS000016002993,abab,4.0
AUS000011602155,b,1.0
AUS000030005552,abbab,5.0
AUS000030005566,a,1.0
AUS000030005559,bab,3.0
AUS000015002825,abab,4.0
AUS000063911920,ab,2.0
AUS000001900360,abab,4.0
AUS000027405108,b,1.0
AUS000034106349,a,1.0
AUS000034106342,ab,2.0
AUS000052409738,bab,3.0
AUS000052409737,a,1.0
AUS000000200020,abab,4.0
AUS000000200033,b,1.0
AUS000011502137,b,1.0
AUS000009801843,bab,3.0
AUS000006601251,ab,2.0
AUS000006601250,ab,2.0
AUS000002100390,bb,2.0
AUS000058910986,a,1.0
AUS000037906995,b,1.0
AUS000037907015,bab,3.0
AUS000009101697,ab,2.0
AUS000009101701,b,1.0
AUS000045908528,a,1.0
AUS000045908522,b,1.0
AUS000022804216,bab,3.0
AUS000022804223,b,1.0
AUS000022804230,b,1.0
AUS000031705889,bb,2.0
AUS000031705906,ab,2.0
AUS000031705892,ab,2.0
AUS000031705899,ab,2.0
AUS000013802561,bab,3.0
AUS000013802559,b,1.0
AUS000030605692,ab,2.0
AUS000030605694,b,1.0
AUS000030605693,abaab,5.0
AUS000030605695,ab,2.0
AUS000026004818,bb,2.0
AUS000026004830,bab,3.0
AUS000026004822,ab,2.0
AUS000043808113,ab,2.0
AUS000043808101,ab,2.0
AUS000043808112,bab,3.0
AUS000046808661,abab,4.0
AUS000046808676,b,1.0
AUS000024604528,bab,3.0
AUS000024604545,b,1.0
AUS000009001673,abaaaaabb,9.0
AUS000009001685,ab,2.0
AUS000049609222,ab,2.0
AUS000061011370,bab,3.0
AUS000061011369,ab,2.0
AUS000003100600,bab,3.0
AUS000003100609,ab,2.0
AUS000005201001,b,1.0
AUS000009201710,a,1.0
AUS000023704371,b,1.0
AUS000023704363,bab,3.0
AUS000073913805,abaaaaab,8.0
AUS000044808308,abab,4.0
AUS000044808317,abab,4.0
AUS000044808305,abbab,5.0
AUS000075614140,ab,2.0
AUS000075614145,abab,4.0
AUS000075614135,abab,4.0
AUS000027505143,bab,3.0
AUS000017103228,a,1.0
AUS000048008888,a,1.0
AUS000048008885,ab,2.0
AUS000033906309,b,1.0
AUS000023104269,ab,2.0
AUS000040107422,bb,2.0
AUS000040107420,ab,2.0
AUS000009701822,b,1.0
AUS000009701826,ab,2.0
AUS000009701813,abaaaaab,8.0
AUS000017803360,abab,4.0
AUS000017803345,bb,2.0
AUS000017803350,ab,2.0
AUS000043708091,babb,4.0
AUS000043708094,bab,3.0
AUS000017503290,a,1.0
AUS000017503293,a,1.0
AUS000033206180,ab,2.0
AUS000033206168,bab,3.0
AUS000033206172,b,1.0
AUS000010702000,b,1.0
AUS000010702001,a,1.0
AUS000024104455,bab,3.0
AUS000047508803,ba,2.0
AUS000024804580,b,1.0
AUS000073413689,ab,2.0
AUS000073413708,a,1.0
AUS000075814169,b,1.0
AUS000050109312,ab,2.0
AUS000007401394,b,1.0
AUS000030705712,bab,3.0
AUS000006401224,bab,3.0
AUS000015202856,b,1.0
AUS000007101315,abab,4.0
AUS000007101326,b,1.0
AUS000057410697,bab,3.0
AUS000057410687,bab,3.0
AUS000057410685,aa,2.0
AUS000069913042,bbb,3.0
AUS000069913049,bab,3.0
AUS000001500277,b,1.0
AUS000001500271,b,1.0
AUS000001500284,babb,4.0
AUS000029405477,b,1.0
AUS000066712474,ab,2.0
AUS000066712479,abab,4.0
AUS000062211599,b,1.0
AUS000031605873,b,1.0
AUS000072813577,bab,3.0
AUS000072813579,b,1.0
AUS000055310279,ab,2.0
AUS000055310271,b,1.0
