stu_id,sequence,length
BEL000026807975,ab,2.0
BGR000009602752,a,1.0
BGR000003000808,a,1.0
BGR000000100004,a,1.0
BGR000007802232,b,1.0
BGR000007802212,aabbab,6.0
BGR000007802206,b,1.0
BGR000002200553,bab,3.0
BGR000002200547,a,1.0
BGR000002200574,a,1.0
BGR000002200542,ab,2.0
BGR000000700178,b,1.0
BGR000000700175,b,1.0
BGR000000200037,b,1.0
BGR000017504898,b,1.0
BGR000007102031,bab,3.0
BGR000007102025,aaaaab,6.0
BGR000006001710,b,1.0
BGR000006001717,aa,2.0
BGR000006001713,ab,2.0
BGR000006001723,bab,3.0
BGR000002700685,b,1.0
BGR000002700684,a,1.0
BGR000008602472,bab,3.0
BGR000004901378,b,1.0
BGR000001400311,abab,4.0
BGR000001400328,ba,2.0
BGR000001400335,a,1.0
BGR000010302955,b,1.0
BGR000002400596,b,1.0
BGR000000300057,a,1.0
BGR000000300041,bb,2.0
BGR000009202665,b,1.0
BGR000001200298,bbb,3.0
BGR000001200286,b,1.0
BGR000001200288,b,1.0
BGR000004101125,ab,2.0
BGR000004101137,ab,2.0
BGR000004101119,b,1.0
BGR000004101134,ab,2.0
BGR000004101117,a,1.0
BGR000004101146,ab,2.0
BGR000004501230,bab,3.0
BGR000004501237,a,1.0
BGR000004501248,b,1.0
BGR000004501236,b,1.0
BGR000004501239,bab,3.0
BGR000014804203,ab,2.0
BGR000014804194,ab,2.0
BGR000014804184,bab,3.0
BGR000014804179,ab,2.0
BGR000001700432,b,1.0
BGR000001700435,ab,2.0
BGR000001700433,b,1.0
BGR000002800728,b,1.0
BGR000001500342,b,1.0
BGR000001500371,aab,3.0
BGR000009002623,bab,3.0
BGR000009002622,b,1.0
BGR000009002609,b,1.0
BGR000009002593,bab,3.0
BGR000011803393,bab,3.0
BGR000011803400,bab,3.0
BGR000011803379,bab,3.0
BGR000015304298,b,1.0
BGR000015304312,a,1.0
BGR000015304300,b,1.0
BGR000011603330,b,1.0
BGR000011603328,ab,2.0
BGR000011603347,ab,2.0
BGR000012803633,b,1.0
BGR000012803643,b,1.0
BGR000015404346,b,1.0
BGR000015404317,b,1.0
BGR000015404336,a,1.0
BGR000005101442,b,1.0
BGR000005101440,bab,3.0
BGR000007302090,b,1.0
BGR000007302104,b,1.0
BGR000003901071,a,1.0
BGR000012503533,ab,2.0
BGR000012503519,a,1.0
BGR000012503531,a,1.0
BGR000010402969,b,1.0
BGR000015504356,b,1.0
BGR000008802558,b,1.0
BGR000008802550,b,1.0
BGR000008802557,bab,3.0
BGR000008802541,ab,2.0
BGR000008802549,b,1.0
BGR000014504140,b,1.0
BGR000014504129,ab,2.0
BGR000015804453,a,1.0
BGR000015804458,a,1.0
BGR000017304838,b,1.0
BGR000009902839,b,1.0
BGR000009902833,bb,2.0
BGR000004601270,b,1.0
BGR000012903675,a,1.0
BGR000000800200,b,1.0
BGR000000800216,ab,2.0
BGR000002500631,a,1.0
BGR000002500628,b,1.0
BGR000002100530,b,1.0
BGR000002100538,b,1.0
BGR000004701302,b,1.0
BGR000004701298,ab,2.0
BGR000004701306,b,1.0
BGR000008102305,b,1.0
BGR000008102308,b,1.0
BGR000008102300,b,1.0
BGR000008102303,aa,2.0
BGR000014404117,a,1.0
BGR000014404109,ab,2.0
BGR000014404121,b,1.0
BGR000001600405,bab,3.0
BGR000001600386,b,1.0
BGR000001600396,ab,2.0
BGR000001900493,bab,3.0
BGR000001900491,b,1.0
BGR000001900476,a,1.0
BGR000001900477,aabab,5.0
BGR000001900498,bab,3.0
BGR000001900489,ab,2.0
BGR000017404878,bb,2.0
BGR000017404879,a,1.0
BGR000017404870,b,1.0
BGR000017404851,ab,2.0
BGR000017704959,b,1.0
BGR000017704974,abab,4.0
BGR000009102646,bab,3.0
BGR000009102628,b,1.0
BGR000009102650,b,1.0
BGR000006801929,b,1.0
BGR000006801943,ab,2.0
BGR000006801945,b,1.0
BGR000006801942,b,1.0
BGR000011303271,b,1.0
BGR000018305164,b,1.0
BGR000016804700,ab,2.0
BGR000016704655,b,1.0
BGR000018105108,a,1.0
BGR000018105089,bab,3.0
BGR000018105083,ab,2.0
BGR000009302672,a,1.0
BGR000009302686,ab,2.0
BGR000009302680,bbb,3.0
BGR000009302693,bab,3.0
BGR000013503814,ab,2.0
BGR000012303503,b,1.0
BGR000012303501,b,1.0
BGR000009802816,b,1.0
BGR000018205143,abab,4.0
BGR000006601894,ab,2.0
BGR000007602169,ab,2.0
BGR000007602177,b,1.0
BGR000010503010,a,1.0
BGR000014003965,a,1.0
BGR000011203231,ab,2.0
BGR000011203217,abab,4.0
BGR000010202920,bab,3.0
BGR000010202900,ab,2.0
BGR000010202911,b,1.0
BGR000015704411,aa,2.0
BGR000015704436,a,1.0
BGR000005401535,ab,2.0
BGR000005401533,a,1.0
BGR000005401501,ab,2.0
BGR000003500948,a,1.0
BGR000005901683,ab,2.0
BGR000005901695,b,1.0
BGR000005201453,b,1.0
BGR000008902566,b,1.0
BGR000008902584,abab,4.0
BGR000007001995,a,1.0
BGR000007002004,b,1.0
BGR000010102866,a,1.0
BGR000010102879,a,1.0
BGR000010102884,b,1.0
BGR000003200864,ab,2.0
BGR000003200869,b,1.0
BGR000000500120,a,1.0
BGR000000500111,b,1.0
BGR000000500122,a,1.0
BGR000011503303,ab,2.0
BGR000011503322,ab,2.0
BGR000011503291,abb,3.0
BGR000011503297,b,1.0
BGR000005501536,ab,2.0
BGR000005501543,ba,2.0
BGR000005501559,b,1.0
BGR000003600985,bab,3.0
BGR000003601004,b,1.0
BGR000003600989,abab,4.0
BGR000003600981,ab,2.0
BGR000003601006,a,1.0
BGR000003600973,aba,3.0
BGR000003600988,ab,2.0
BGR000011103205,b,1.0
BGR000011103193,b,1.0
BGR000011103176,ab,2.0
BGR000011103185,bab,3.0
BGR000011103180,abbbbb,6.0
BGR000007502145,ab,2.0
BGR000012203446,a,1.0
BGR000012203448,ab,2.0
BGR000000400071,b,1.0
BGR000003701008,b,1.0
BGR000008502445,ab,2.0
BGR000015604391,b,1.0
BGR000002900751,bab,3.0
BGR000017604936,b,1.0
BGR000010903127,b,1.0
BGR000016104555,abb,3.0
BGR000016104544,a,1.0
BGR000016104560,b,1.0
BGR000005701634,b,1.0
BGR000005701630,b,1.0
BGR000005701612,aaaaab,6.0
BGR000004301188,b,1.0
BGR000010703071,a,1.0
BGR000015104230,ab,2.0
BGR000013203765,b,1.0
BGR000016904735,bbab,4.0
BGR000018705246,b,1.0
BGR000018705253,abab,4.0
BGR000012603546,a,1.0
BGR000003100811,bb,2.0
BGR000003100840,b,1.0
BGR000003100814,b,1.0
BGR000003801026,b,1.0
BGR000003801016,bab,3.0
BGR000003801014,b,1.0
BGR000005001402,b,1.0
BGR000009402721,aaaaa,5.0
BGR000009402712,ab,2.0
BGR000009402731,a,1.0
BGR000009402725,b,1.0
BGR000016004509,a,1.0
BGR000006301828,b,1.0
BGR000003400924,ab,2.0
BGR000015204273,bb,2.0
BGR000014604154,ab,2.0
BGR000014604161,b,1.0
BGR000014604157,b,1.0
BGR000017204802,a,1.0
BGR000017204811,b,1.0
BGR000017204801,ab,2.0
BGR000017204810,b,1.0
BGR000014304070,aa,2.0
BGR000006101743,b,1.0
BGR000006101760,abb,3.0
BGR000004801344,a,1.0
BGR000004801315,b,1.0
BGR000004801318,ab,2.0
BGR000004401222,b,1.0
BGR000018605239,b,1.0
BRA000067115299,b,1.0
BRA000051111698,ab,2.0
BRA000013202841,b,1.0
BRA000013202826,b,1.0
BRA000013202840,ab,2.0
BRA000036108149,b,1.0
BRA000008301762,b,1.0
BRA000008301766,b,1.0
BRA000014403097,ab,2.0
BRA000032607323,b,1.0
BRA000065514918,a,1.0
BRA000039308865,ab,2.0
BRA000039308856,b,1.0
BRA000062514258,a,1.0
BRA000062514251,b,1.0
BRA000062514234,b,1.0
BRA000023305113,b,1.0
BRA000023305115,b,1.0
BRA000003100598,b,1.0
BRA000003100586,b,1.0
BRA000027606178,ab,2.0
BRA000027606185,ab,2.0
BRA000028406360,a,1.0
BRA000037108435,aaaaabab,8.0
BRA000008201760,bbb,3.0
BRA000060513800,ab,2.0
BRA000041509434,b,1.0
BRA000041509433,bab,3.0
BRA000041509421,b,1.0
BRA000020104392,b,1.0
BRA000020104384,b,1.0
BRA000020104370,b,1.0
BRA000035007879,abab,4.0
BRA000048311012,a,1.0
BRA000048311024,b,1.0
BRA000013402867,b,1.0
BRA000047710847,ab,2.0
BRA000047710848,ab,2.0
BRA000058013249,aab,3.0
BRA000047010674,b,1.0
BRA000047010671,bbab,4.0
BRA000048611085,ab,2.0
BRA000048611087,b,1.0
BRA000070716114,a,1.0
BRA000053612295,a,1.0
BRA000026005781,b,1.0
BRA000026005804,a,1.0
BRA000029906672,b,1.0
BRA000029906667,a,1.0
BRA000029906673,bab,3.0
BRA000041209347,b,1.0
BRA000029706624,ab,2.0
BRA000052311988,b,1.0
BRA000034907849,aab,3.0
BRA000058913421,b,1.0
BRA000058913420,b,1.0
BRA000059113461,b,1.0
BRA000029306533,ab,2.0
BRA000029306553,baab,4.0
BRA000077117625,b,1.0
BRA000077117610,ab,2.0
BRA000062414230,b,1.0
BRA000038008581,ab,2.0
BRA000045510317,bab,3.0
BRA000014103000,b,1.0
BRA000014103003,b,1.0
BRA000014102990,a,1.0
BRA000015103239,b,1.0
BRA000015103262,b,1.0
BRA000015103234,b,1.0
BRA000066815232,ab,2.0
BRA000066815240,b,1.0
BRA000017903910,b,1.0
BRA000042409666,b,1.0
BRA000042409660,a,1.0
BRA000042409670,baab,4.0
BRA000016903653,b,1.0
BRA000080218331,a,1.0
BRA000049011213,b,1.0
BRA000028906445,ab,2.0
BRA000028906447,b,1.0
BRA000063514476,a,1.0
BRA000044610132,b,1.0
BRA000044610114,b,1.0
BRA000044610106,b,1.0
BRA000025505677,ab,2.0
BRA000059613554,b,1.0
BRA000059613557,b,1.0
BRA000059613544,b,1.0
BRA000013802964,aa,2.0
BRA000005801158,b,1.0
BRA000005801153,a,1.0
BRA000060013687,b,1.0
BRA000060013681,b,1.0
BRA000060013665,bab,3.0
BRA000071416263,b,1.0
BRA000006701373,b,1.0
BRA000083619085,b,1.0
BRA000083619094,b,1.0
BRA000065714971,ab,2.0
BRA000065714982,b,1.0
BRA000065714979,b,1.0
BRA000050911634,b,1.0
BRA000048010949,b,1.0
BRA000048010936,b,1.0
BRA000030806927,ab,2.0
BRA000030806913,ab,2.0
BRA000028306332,ab,2.0
BRA000007801656,ab,2.0
BRA000004500917,bb,2.0
BRA000019504223,b,1.0
BRA000019504225,ab,2.0
BRA000075117132,ab,2.0
BRA000030606894,b,1.0
BRA000030606876,a,1.0
BRA000044510091,b,1.0
BRA000081818712,a,1.0
BRA000067515396,b,1.0
BRA000073716831,b,1.0
BRA000022604950,b,1.0
BRA000022604982,b,1.0
BRA000022604964,babb,4.0
BRA000007101457,bab,3.0
BRA000032707335,b,1.0
BRA000032707340,ab,2.0
BRA000068915746,ab,2.0
BRA000068915743,ab,2.0
BRA000056112902,ab,2.0
BRA000056112909,b,1.0
BRA000006601340,b,1.0
BRA000006301295,b,1.0
BRA000045010199,a,1.0
BRA000045010211,b,1.0
BRA000045010193,b,1.0
BRA000014503115,b,1.0
BRA000014503125,ab,2.0
BRA000083819146,aa,2.0
BRA000046710598,ab,2.0
BRA000046710599,a,1.0
BRA000019904347,ab,2.0
BRA000070416075,b,1.0
BRA000070416070,bab,3.0
BRA000067615429,b,1.0
BRA000067615428,b,1.0
BRA000009602010,b,1.0
BRA000072316453,b,1.0
BRA000060913926,a,1.0
BRA000060913936,b,1.0
BRA000000400107,abab,4.0
BRA000014203038,a,1.0
BRA000014203017,a,1.0
BRA000049211256,bab,3.0
BRA000053712329,b,1.0
BRA000053712325,ab,2.0
BRA000008001710,ab,2.0
BRA000046810639,a,1.0
BRA000046810633,b,1.0
BRA000046810643,b,1.0
BRA000066615179,ab,2.0
BRA000066615176,bb,2.0
BRA000081018530,bb,2.0
BRA000069515895,ab,2.0
BRA000069515917,b,1.0
BRA000061914162,b,1.0
BRA000016003494,aabab,5.0
BRA000016003464,ab,2.0
BRA000051811858,b,1.0
BRA000040709213,ab,2.0
BRA000021704766,ab,2.0
BRA000080318369,b,1.0
BRA000043009855,a,1.0
BRA000068715694,b,1.0
BRA000068715677,a,1.0
BRA000079218098,b,1.0
BRA000079218081,b,1.0
BRA000079218096,ab,2.0
BRA000002600489,a,1.0
BRA000059213477,b,1.0
BRA000050411525,b,1.0
BRA000050411528,b,1.0
BRA000050411519,a,1.0
BRA000040309107,bab,3.0
BRA000040309119,b,1.0
BRA000083118960,ab,2.0
BRA000083118950,a,1.0
BRA000083118961,abab,4.0
BRA000069115799,aaaaab,6.0
BRA000046510551,ab,2.0
BRA000011802450,b,1.0
BRA000035207930,aaaaa,5.0
BRA000016803635,b,1.0
BRA000017103720,b,1.0
BRA000017103726,b,1.0
CAN000001400314,b,1.0
CAN000019304815,b,1.0
CAN000055113723,aa,2.0
CAN000055113728,b,1.0
CAN000055113715,b,1.0
CAN000049512185,b,1.0
CAN000049512181,b,1.0
CAN000068416736,b,1.0
CAN000061615173,bab,3.0
CAN000060214857,b,1.0
CAN000027806929,a,1.0
CAN000027806920,aa,2.0
CAN000071317481,b,1.0
CAN000071317461,b,1.0
CAN000034008458,ab,2.0
CAN000035108698,b,1.0
CAN000035108709,b,1.0
CAN000069316941,abab,4.0
CAN000031907931,b,1.0
CAN000031907913,bab,3.0
CAN000062815447,b,1.0
CAN000030807569,bb,2.0
CAN000073718010,b,1.0
CAN000073718012,abab,4.0
CAN000038109384,b,1.0
CAN000038109389,a,1.0
CAN000040109841,abab,4.0
CAN000040109843,ab,2.0
CAN000004901051,b,1.0
CAN000004901061,aab,3.0
CAN000021905546,b,1.0
CAN000072817806,b,1.0
CAN000061115050,a,1.0
CAN000028907184,b,1.0
CAN000040009822,b,1.0
CAN000040009826,b,1.0
CAN000040009824,b,1.0
CAN000040009810,a,1.0
CAN000048711985,b,1.0
CAN000048711992,ab,2.0
CAN000069817077,ab,2.0
CAN000017804463,b,1.0
CAN000026406612,b,1.0
CAN000063015495,a,1.0
CAN000044310878,b,1.0
CAN000044310876,b,1.0
CAN000021305423,b,1.0
CAN000069116917,b,1.0
CAN000029907402,ab,2.0
CAN000014003436,b,1.0
CAN000032308050,b,1.0
CAN000032308025,b,1.0
CAN000052713152,a,1.0
CAN000052713196,bb,2.0
CAN000053613364,ab,2.0
CAN000025206336,bab,3.0
CAN000041010045,ab,2.0
CAN000065316116,b,1.0
CAN000065316085,b,1.0
CAN000019704925,a,1.0
CAN000019704973,a,1.0
CAN000014503557,b,1.0
CAN000014503587,ab,2.0
CAN000039109582,b,1.0
CAN000039109607,b,1.0
CAN000078619149,b,1.0
CAN000078619139,b,1.0
CAN000014903802,abaaaaab,8.0
CAN000068216694,b,1.0
CAN000068216700,a,1.0
CAN000042510423,ab,2.0
CAN000016804192,b,1.0
CAN000014703765,ab,2.0
CAN000014703766,ab,2.0
CAN000060314869,b,1.0
CAN000012102863,bab,3.0
CAN000012102864,b,1.0
CAN000082620113,b,1.0
CAN000022305605,babb,4.0
CAN000020705261,bb,2.0
CAN000050912715,ab,2.0
CAN000050912693,b,1.0
CAN000042110313,a,1.0
CAN000002200523,aab,3.0
CAN000044110856,ab,2.0
CAN000044110853,abab,4.0
CAN000038709518,baab,4.0
CAN000038709509,b,1.0
CAN000038709516,b,1.0
CAN000027106778,b,1.0
CAN000029407305,ab,2.0
CAN000070117135,abaaaaab,8.0
CAN000070117138,b,1.0
CAN000036709073,b,1.0
CAN000036709084,b,1.0
CAN000049212123,b,1.0
CAN000049212114,b,1.0
CAN000043610733,b,1.0
CAN000058414459,b,1.0
CAN000058414457,bab,3.0
CAN000044610933,aab,3.0
CAN000075118300,ab,2.0
CAN000077518877,ab,2.0
CAN000029007195,ba,2.0
CAN000029007224,abb,3.0
CAN000010802497,ab,2.0
CAN000033908422,abab,4.0
CAN000033908446,b,1.0
CAN000017104269,bab,3.0
CAN000040709962,aab,3.0
CAN000072217663,b,1.0
CAN000042010307,bab,3.0
CAN000028307066,bab,3.0
CAN000028307060,b,1.0
CAN000079619398,aabb,4.0
CAN000079619392,b,1.0
CAN000043710757,ab,2.0
CAN000043710756,bb,2.0
CAN000043710755,a,1.0
CAN000044510911,abab,4.0
CAN000044510928,ab,2.0
CAN000065516158,ab,2.0
CAN000057114179,b,1.0
CAN000057114193,b,1.0
CAN000018604650,b,1.0
CAN000018604646,b,1.0
CAN000074218110,ab,2.0
CAN000074218127,ab,2.0
CAN000074218122,b,1.0
CAN000086921185,b,1.0
CAN000086921178,ab,2.0
CAN000086821161,b,1.0
CAN000086821167,ab,2.0
CAN000086821157,ab,2.0
CAN000013103159,b,1.0
CAN000013103157,bab,3.0
CAN000013103173,b,1.0
CAN000081219764,b,1.0
CAN000081219761,b,1.0
CAN000081219773,a,1.0
CAN000085020676,ab,2.0
CAN000019004744,ab,2.0
CAN000085920923,b,1.0
CAN000085420784,b,1.0
CAN000085420781,b,1.0
CAN000070817267,a,1.0
CAN000070817280,b,1.0
CAN000018504637,ab,2.0
CAN000018504631,ab,2.0
CAN000070617256,b,1.0
CAN000073918046,ab,2.0
CAN000073918050,baab,4.0
CAN000037509231,bab,3.0
CAN000037509235,ab,2.0
CAN000081519841,abb,3.0
CAN000009702085,ab,2.0
CAN000009702077,bab,3.0
CAN000033508318,b,1.0
CAN000033508305,a,1.0
CAN000034108491,b,1.0
CAN000034108496,b,1.0
CAN000013203192,a,1.0
CAN000013203193,a,1.0
CAN000059314680,bb,2.0
CAN000041210105,babab,5.0
CAN000061715245,b,1.0
CAN000050112516,a,1.0
CAN000083420293,b,1.0
CAN000083420321,a,1.0
CAN000083420330,a,1.0
CAN000011302624,abb,3.0
CAN000012402955,ab,2.0
CAN000012402970,abb,3.0
CAN000024806244,aab,3.0
CAN000024806256,b,1.0
CAN000083320270,b,1.0
CAN000078919238,bbab,4.0
CAN000064115826,ab,2.0
CAN000064115825,ab,2.0
CAN000017004250,b,1.0
CAN000017004247,bab,3.0
CAN000017004244,ab,2.0
CAN000016504119,ab,2.0
CAN000000700174,b,1.0
CAN000000700172,a,1.0
CAN000000700178,a,1.0
CAN000027906945,b,1.0
CAN000030507518,a,1.0
CAN000030507509,ab,2.0
CAN000008201736,ab,2.0
CAN000027406841,b,1.0
CAN000047911815,ab,2.0
CAN000023205784,b,1.0
CAN000023205773,b,1.0
CAN000043210632,bab,3.0
CAN000043210650,ab,2.0
CAN000002300550,bab,3.0
CAN000007901690,a,1.0
CAN000006101338,a,1.0
CAN000006101321,bab,3.0
CAN000069016903,ababab,6.0
CAN000073117862,ab,2.0
CAN000073117865,ab,2.0
CAN000075618422,ab,2.0
CAN000075618435,b,1.0
CAN000051212794,bab,3.0
CAN000041310147,bab,3.0
CAN000072717768,aab,3.0
CAN000004300972,abab,4.0
CAN000004300973,b,1.0
CAN000004300981,b,1.0
CAN000066616385,bb,2.0
CAN000039809756,b,1.0
CAN000039809775,b,1.0
CAN000039809772,abb,3.0
CAN000054613606,b,1.0
CAN000015103811,bb,2.0
CAN000000200024,ab,2.0
CAN000000200044,b,1.0
CAN000016604135,ab,2.0
CAN000031707823,b,1.0
CAN000026006504,b,1.0
CAN000049712242,a,1.0
CAN000044410907,abab,4.0
CAN000069917098,ab,2.0
CAN000069917100,ab,2.0
CAN000069917078,babab,5.0
CAN000052313071,b,1.0
CAN000052313064,ab,2.0
CAN000020405202,a,1.0
CAN000022705678,a,1.0
CAN000015603921,b,1.0
CAN000015603917,bab,3.0
CAN000015603925,ab,2.0
CAN000059414686,a,1.0
CAN000019404838,aaaaa,5.0
CAN000019404847,b,1.0
CAN000032408086,ab,2.0
CAN000032408074,b,1.0
CAN000065616198,b,1.0
CAN000065616178,ab,2.0
CAN000027206795,b,1.0
CAN000027206799,b,1.0
CAN000027206804,bbab,4.0
CAN000016704170,b,1.0
CAN000016704173,bbb,3.0
CAN000087921399,a,1.0
CAN000087921385,ab,2.0
CAN000087921396,bab,3.0
CAN000049612194,ab,2.0
CAN000049612192,b,1.0
CAN000023305800,ab,2.0
CAN000023305803,b,1.0
CAN000023305799,abb,3.0
CAN000062715422,b,1.0
CAN000011202593,bb,2.0
CAN000011202596,abab,4.0
CAN000031007638,a,1.0
CAN000031007635,aa,2.0
CAN000057014161,bab,3.0
CAN000057014152,b,1.0
CAN000057014144,a,1.0
CAN000032708156,bab,3.0
CAN000001600365,b,1.0
CAN000039609718,a,1.0
CAN000039609717,ab,2.0
CAN000039609721,abaabab,7.0
CAN000062115330,b,1.0
CAN000005601218,bb,2.0
CAN000042710518,abbab,5.0
CAN000042710484,b,1.0
CAN000031807873,ab,2.0
CAN000031807877,b,1.0
CAN000006501418,ab,2.0
CAN000006501416,abab,4.0
CAN000086721122,b,1.0
CAN000005101102,a,1.0
CAN000005101097,abab,4.0
CAN000033608359,ab,2.0
CAN000010702464,abab,4.0
CAN000010702468,abab,4.0
CAN000065116007,b,1.0
CAN000056013910,b,1.0
CAN000018304591,b,1.0
CAN000018304597,a,1.0
CAN000018304604,bab,3.0
CAN000020105123,bb,2.0
CAN000017604416,a,1.0
CAN000035908897,b,1.0
CAN000035908907,b,1.0
CAN000035908904,abab,4.0
CAN000020205167,ab,2.0
CAN000062315358,bab,3.0
CAN000062315364,bab,3.0
CAN000080519594,abab,4.0
CAN000080519605,b,1.0
CAN000054013442,bb,2.0
CAN000054013444,abab,4.0
CAN000026306592,ab,2.0
CAN000026306589,a,1.0
CAN000081019712,b,1.0
CAN000081019709,aabab,5.0
CAN000081019705,ab,2.0
CAN000048611951,a,1.0
CAN000026906702,ab,2.0
CAN000026906705,abab,4.0
CAN000085120711,abb,3.0
CAN000085120714,bab,3.0
CAN000024005981,b,1.0
CAN000022005571,bab,3.0
CAN000011702754,bb,2.0
CAN000011702758,aaab,4.0
CAN000016104025,b,1.0
CAN000083620379,bab,3.0
CAN000023605918,b,1.0
CAN000066416329,aa,2.0
CAN000057714291,ab,2.0
CAN000083920444,abab,4.0
CAN000083920426,babab,5.0
CAN000036008936,bab,3.0
CAN000084520572,ab,2.0
CAN000067816643,ab,2.0
CAN000065816221,ab,2.0
CAN000053413324,baaaaab,7.0
CAN000072617752,b,1.0
CAN000072617761,ab,2.0
CAN000056513994,abab,4.0
CAN000056514002,ab,2.0
CAN000021605477,ab,2.0
CAN000068816854,ab,2.0
CAN000068816843,b,1.0
CAN000042910575,bab,3.0
CAN000042910577,bab,3.0
CAN000021105360,ab,2.0
CAN000013803348,ababab,6.0
CAN000069717040,b,1.0
CAN000029207244,baba,4.0
CAN000007301553,ab,2.0
CAN000007301566,bab,3.0
CAN000007301567,abab,4.0
CAN000045411118,ab,2.0
CAN000081119738,ab,2.0
CAN000007801673,b,1.0
CAN000031507778,b,1.0
CAN000031507758,a,1.0
CAN000012903125,abab,4.0
CAN000007201531,b,1.0
CAN000007201547,b,1.0
CAN000038009365,a,1.0
CAN000034608598,b,1.0
CAN000035408788,ab,2.0
CAN000035408798,b,1.0
CAN000074318147,ab,2.0
CAN000067416551,baab,4.0
CAN000067416558,bb,2.0
CAN000067416553,aabbaaaaab,10.0
CAN000010602442,a,1.0
CAN000049812262,b,1.0
CAN000088221452,ab,2.0
CAN000088221454,abab,4.0
CAN000088221465,b,1.0
CAN000005401147,b,1.0
CAN000043810765,b,1.0
CAN000076518674,ab,2.0
CAN000076518676,ab,2.0
CAN000014403495,ab,2.0
CAN000014403505,ab,2.0
CAN000077818969,ab,2.0
CAN000079919470,abab,4.0
CAN000079919466,ba,2.0
CAN000046111284,abab,4.0
CAN000046111298,a,1.0
CAN000046711416,b,1.0
CAN000031207662,ab,2.0
CAN000033408279,aab,3.0
CAN000033408280,b,1.0
CAN000051012726,bbab,4.0
CAN000051012739,b,1.0
CAN000051012741,a,1.0
CAN000024706149,bab,3.0
CAN000076118588,bab,3.0
CAN000079219307,b,1.0
CAN000048311892,b,1.0
CAN000055713835,ab,2.0
CAN000054913666,ab,2.0
CAN000064515907,b,1.0
CAN000070417194,ab,2.0
CAN000070417198,ab,2.0
CAN000003700869,a,1.0
CAN000003700853,b,1.0
CAN000048111850,b,1.0
CAN000002800640,abab,4.0
CAN000002800657,abab,4.0
CAN000061215066,ab,2.0
CAN000003000691,b,1.0
CAN000003000695,b,1.0
CAN000064215855,ab,2.0
CAN000010002284,b,1.0
CAN000010002295,ababb,5.0
CAN000000400097,b,1.0
CAN000014803775,ab,2.0
CAN000014803796,ab,2.0
CAN000025506382,a,1.0
CAN000010202340,abab,4.0
CAN000010202352,b,1.0
CAN000010302387,ab,2.0
CAN000063415562,bab,3.0
CAN000033308273,ab,2.0
CAN000033308244,b,1.0
CAN000033308268,b,1.0
CAN000041610229,b,1.0
CAN000041610223,b,1.0
CAN000072017621,ab,2.0
CAN000072017619,b,1.0
CAN000063615720,bab,3.0
CAN000026106530,b,1.0
CAN000026106531,bab,3.0
CAN000078019031,bab,3.0
CAN000078019022,bb,2.0
CAN000078019034,ab,2.0
CAN000078019013,baaaaab,7.0
CAN000075718444,ab,2.0
CAN000047011443,ab,2.0
CAN000047011466,abaaaaab,8.0
CAN000017204300,babb,4.0
CAN000017204304,abab,4.0
CAN000032007956,ab,2.0
CAN000032007940,ab,2.0
CAN000081619859,aab,3.0
CAN000081619857,bab,3.0
CAN000081619860,abb,3.0
CAN000039709746,bab,3.0
CAN000012503010,ab,2.0
CAN000012503022,bab,3.0
CAN000012503007,ab,2.0
CAN000031307717,ab,2.0
CAN000031307712,ab,2.0
CAN000031307708,a,1.0
CAN000017704428,aaaaab,6.0
CAN000017704434,b,1.0
CAN000084220493,ab,2.0
CAN000046411368,abab,4.0
CAN000046411357,bab,3.0
CAN000002000491,a,1.0
CAN000002000463,bab,3.0
CAN000024506124,a,1.0
CAN000024506120,bab,3.0
CAN000084320518,b,1.0
CAN000017504390,ab,2.0
CAN000017304344,b,1.0
CAN000052413092,b,1.0
CAN000008101729,b,1.0
CAN000040409889,b,1.0
CAN000033808403,ab,2.0
CAN000020505213,ab,2.0
CAN000068016675,aa,2.0
CAN000068016667,b,1.0
CAN000068016664,b,1.0
CAN000062415384,b,1.0
CAN000025306343,a,1.0
CAN000028707123,ab,2.0
CAN000028707138,ab,2.0
CAN000015403882,b,1.0
CAN000015403883,ab,2.0
CAN000038409441,b,1.0
CAN000038409418,bab,3.0
CAN000038409437,abbab,5.0
CAN000038409443,ababab,6.0
CAN000044910991,b,1.0
CAN000055613819,b,1.0
CAN000055613827,bbab,4.0
CAN000055613825,b,1.0
CAN000012302923,b,1.0
CAN000012302914,b,1.0
CAN000012302903,a,1.0
CAN000068716816,b,1.0
CAN000035008683,b,1.0
CAN000074118088,a,1.0
CAN000006801455,b,1.0
CAN000006801473,ab,2.0
CAN000007701645,ab,2.0
CAN000007701657,babb,4.0
CAN000081419813,a,1.0
CAN000081419815,b,1.0
CAN000085720871,ab,2.0
CAN000085720865,abab,4.0
CAN000061415113,ab,2.0
CAN000070317162,b,1.0
CAN000070317181,abab,4.0
CAN000008901908,bab,3.0
CAN000074418156,bab,3.0
CAN000074418163,bab,3.0
CAN000064815967,b,1.0
CAN000007501605,abb,3.0
CAN000007501620,a,1.0
CAN000077618913,b,1.0
CAN000077618915,a,1.0
CAN000030107442,b,1.0
CAN000032608122,b,1.0
CAN000032608130,a,1.0
CAN000019504862,ab,2.0
CAN000056714087,a,1.0
CAN000073017818,b,1.0
CAN000069416968,abab,4.0
CAN000047311534,b,1.0
CAN000006301351,a,1.0
CAN000009301988,bb,2.0
CAN000020605243,b,1.0
CAN000020605255,b,1.0
CAN000066516354,b,1.0
CAN000066516361,aba,3.0
CAN000017904486,bab,3.0
